Rx Port,IPv4 :Raw priority,Flow Group,Tx Frames,Rx Frames,Rx Frames per Bin : 0us - 30us,Rx Frames per Bin : 30us - 34.66us,Rx Frames per Bin : 34.66us - 39.34us,Rx Frames per Bin : 39.34us - 44us,Rx Frames per Bin : 44us - 48.66us,Rx Frames per Bin : 48.66us - 53.34us,Rx Frames per Bin : 53.34us - 58us,Rx Frames per Bin : 58us - 62.66us,Rx Frames per Bin : 62.66us - 67.34us,Rx Frames per Bin : 67.34us - 72us,Rx Frames per Bin : 72us - 76.66us,Rx Frames per Bin : 76.66us - 81.34us,Rx Frames per Bin : 81.34us - 86us,Rx Frames per Bin : 86us - 90.66us,Rx Frames per Bin : 90.66us - 95.34us,Rx Frames per Bin : 95.34us - maxus,Loss %,Tx Frame Rate,Rx Frame Rate,Tx Rate (bps),Rx Rate (bps),Cut-Through Avg Latency (ns),Cut-Through Min Latency (ns),Cut-Through Max Latency (ns)
Port 1,0x1,HQoS Traffic-cpu1-flow0-lp - Flow Group 0001,66841849,55370992,0,2,44,30,26,21,27,27,25,27,26,24,27,25,30,55370631,17.161,1152832.500,954987.000,13999997880.000,11597362128.000,68971337,33840,930137592
Port 1,0x1,HQoS Traffic-cpu0-flow0-lp - Flow Group 0001,66841849,55370981,0,0,44,23,24,28,27,27,26,23,27,26,26,25,26,55370629,17.161,1152832.500,954988.000,13999997880.000,11597374272.000,68773371,35175,910562595
Port 1,0x0,HQoS Traffic-cpu1-flow0-hp - Flow Group 0001,40716663,40716341,0,1464,18137,9103,442,92,194,347,539,765,1107,1511,1900,2574,3406,40674760,0.001,702247.000,702297.000,999999728.000,1000070928.000,391715,32627,691522
Port 1,0x0,HQoS Traffic-cpu0-flow0-hp - Flow Group 0001,40716664,40716427,0,1478,18351,8907,388,93,246,413,565,795,1209,1586,1982,2433,3206,40674775,0.001,702247.500,702289.500,1000000440.000,1000060248.000,392540,32847,692682
