Rx Port,IPv4 :Raw priority,Flow Group,Tx Frames,Rx Frames,Rx Frames per Bin : 0us - 30us,Rx Frames per Bin : 30us - 34.66us,Rx Frames per Bin : 34.66us - 39.34us,Rx Frames per Bin : 39.34us - 44us,Rx Frames per Bin : 44us - 48.66us,Rx Frames per Bin : 48.66us - 53.34us,Rx Frames per Bin : 53.34us - 58us,Rx Frames per Bin : 58us - 62.66us,Rx Frames per Bin : 62.66us - 67.34us,Rx Frames per Bin : 67.34us - 72us,Rx Frames per Bin : 72us - 76.66us,Rx Frames per Bin : 76.66us - 81.34us,Rx Frames per Bin : 81.34us - 86us,Rx Frames per Bin : 86us - 90.66us,Rx Frames per Bin : 90.66us - 95.34us,Rx Frames per Bin : 95.34us - maxus,Loss %,Tx Frame Rate,Rx Frame Rate,Tx Rate (bps),Rx Rate (bps),Cut-Through Avg Latency (ns),Cut-Through Min Latency (ns),Cut-Through Max Latency (ns)
Port 1,0x1,HQoS Traffic-cpu1-flow0-lp - Flow Group 0001,69147463,57280936,0,2,33,28,30,25,25,28,24,26,26,28,23,28,23,57280587,17.161,1152833.000,954997.500,14000003952.000,11597489640.000,69229481,33337,1023451517
Port 1,0x1,HQoS Traffic-cpu0-flow0-lp - Flow Group 0001,69147463,57280929,0,1,25,34,22,25,29,26,25,25,24,28,25,27,26,57280587,17.161,1152832.500,954993.000,13999997880.000,11597434992.000,68924630,34290,770475200
Port 1,0x0,HQoS Traffic-cpu1-flow0-hp - Flow Group 0001,42121126,42120790,0,1452,18103,9172,398,96,188,305,519,716,1041,1415,1744,2252,3068,42080321,0.001,702247.000,702210.500,999999728.000,999947752.000,391783,32875,689065
Port 1,0x0,HQoS Traffic-cpu0-flow0-hp - Flow Group 0001,42121126,42120833,0,1738,18057,8955,377,85,221,407,567,781,1158,1528,1923,2496,3249,42079291,0.001,702247.000,702243.500,999999728.000,999994744.000,392480,32627,684685
