Rx Port,IPv4 :Raw priority,Flow Group,Tx Frames,Rx Frames,Rx Frames per Bin : 0us - 30us,Rx Frames per Bin : 30us - 33.34us,Rx Frames per Bin : 33.34us - 36.66us,Rx Frames per Bin : 36.66us - 40us,Rx Frames per Bin : 40us - 43.34us,Rx Frames per Bin : 43.34us - 46.66us,Rx Frames per Bin : 46.66us - 50us,Rx Frames per Bin : 50us - 53.34us,Rx Frames per Bin : 53.34us - 56.66us,Rx Frames per Bin : 56.66us - 60us,Rx Frames per Bin : 60us - 63.34us,Rx Frames per Bin : 63.34us - 66.66us,Rx Frames per Bin : 66.66us - 70us,Rx Frames per Bin : 70us - 73.34us,Rx Frames per Bin : 73.34us - 76.66us,Rx Frames per Bin : 76.66us - maxus,Loss %,Tx Frame Rate,Rx Frame Rate,Tx Rate (bps),Rx Rate (bps),Cut-Through Avg Latency (ns),Cut-Through Min Latency (ns),Cut-Through Max Latency (ns)
Port 1,0x1,HQoS Traffic-cpu7-flow0-lp - Flow Group 0001,46571427,14797504,0,0,4,1,1,2,1,2,0,2,1,1,2,0,2,14797485,68.226,751400.000,238748.000,9125001600.000,2899355712.000,149395159,33772,1441105020
Port 1,0x1,HQoS Traffic-cpu6-flow0-lp - Flow Group 0001,46571427,14797503,0,0,2,1,2,1,0,1,2,1,1,2,1,1,1,14797487,68.226,751400.000,238748.500,9125001600.000,2899361784.000,149340665,33602,1553145090
Port 1,0x1,HQoS Traffic-cpu5-flow0-lp - Flow Group 0001,46571427,14797503,0,0,2,2,1,1,1,1,1,1,1,2,1,1,1,14797487,68.226,751399.500,238748.500,9124995528.000,2899361784.000,149366827,33900,1388562252
Port 1,0x1,HQoS Traffic-cpu4-flow0-lp - Flow Group 0001,46571427,14797504,0,0,2,1,1,2,1,1,2,1,1,1,1,2,1,14797487,68.226,751399.500,238749.000,9124995528.000,2899367856.000,149628100,34732,1438119892
Port 1,0x1,HQoS Traffic-cpu3-flow0-lp - Flow Group 0001,46571427,14797503,0,0,4,1,1,1,1,2,0,2,1,1,1,2,0,14797486,68.226,751399.500,238748.000,9124995528.000,2899355712.000,149316528,33802,1448804167
Port 1,0x1,HQoS Traffic-cpu2-flow0-lp - Flow Group 0001,46571428,14797504,0,0,4,1,1,1,1,2,1,1,1,1,1,1,2,14797486,68.226,751400.000,238748.500,9125001600.000,2899361784.000,149305404,33742,1598487910
Port 1,0x1,HQoS Traffic-cpu1-flow0-lp - Flow Group 0001,46571428,14797504,0,0,2,1,2,2,0,2,0,1,2,1,1,2,1,14797487,68.226,751400.000,238748.500,9125001600.000,2899361784.000,149343336,33527,1551419017
Port 1,0x1,HQoS Traffic-cpu0-flow0-lp - Flow Group 0001,46571428,14797504,0,0,2,1,1,2,1,1,1,2,1,1,1,2,1,14797487,68.226,751400.000,238748.500,9125001600.000,2899361784.000,149295883,34372,1593355705
Port 1,0x0,HQoS Traffic-cpu7-flow0-hp - Flow Group 0001,10881241,10881217,0,91,860,1451,357,60,2,5,2,7,3,8,7,8,67,10878289,0.000,175562.000,175563.500,250000288.000,250002424.000,152277,32205,257210
Port 1,0x0,HQoS Traffic-cpu6-flow0-hp - Flow Group 0001,10881241,10881218,0,45,1009,1413,335,14,4,3,6,4,5,3,7,4,56,10878310,0.000,175561.500,175562.500,249999576.000,250001000.000,153099,32287,258070
Port 1,0x0,HQoS Traffic-cpu5-flow0-hp - Flow Group 0001,10881241,10881210,0,6,1073,1371,349,14,4,6,4,7,8,3,5,5,65,10878290,0.000,175561.500,175557.500,249999576.000,249993880.000,153761,32107,261032
Port 1,0x0,HQoS Traffic-cpu4-flow0-hp - Flow Group 0001,10881241,10881213,0,62,916,1450,367,18,6,4,7,3,7,5,3,4,37,10878324,0.000,175561.500,175558.000,249999576.000,249994592.000,155975,32170,257760
Port 1,0x0,HQoS Traffic-cpu3-flow0-hp - Flow Group 0001,10881242,10881219,0,15,1121,1265,392,20,6,6,6,4,6,3,10,4,66,10878295,0.000,175562.000,175561.500,250000288.000,249999576.000,153048,31610,256952
Port 1,0x0,HQoS Traffic-cpu2-flow0-hp - Flow Group 0001,10881242,10881219,0,86,836,1484,362,44,8,2,6,5,6,4,8,7,72,10878289,0.000,175562.000,175563.000,250000288.000,250001712.000,152761,32125,257035
Port 1,0x0,HQoS Traffic-cpu1-flow0-hp - Flow Group 0001,10881242,10881210,0,42,903,1450,386,34,3,5,3,4,4,4,6,6,61,10878299,0.000,175562.000,175557.500,250000288.000,249993880.000,153163,32365,259837
Port 1,0x0,HQoS Traffic-cpu0-flow0-hp - Flow Group 0001,10881242,10881213,0,70,900,1447,380,17,6,4,4,3,7,4,8,8,60,10878295,0.000,175562.000,175560.000,250000288.000,249997440.000,152850,32065,256065
