Rx Port,IPv4 :Raw priority,Flow Group,Tx Frames,Rx Frames,Rx Frames per Bin : 0us - 30us,Rx Frames per Bin : 30us - 33.34us,Rx Frames per Bin : 33.34us - 36.66us,Rx Frames per Bin : 36.66us - 40us,Rx Frames per Bin : 40us - 43.34us,Rx Frames per Bin : 43.34us - 46.66us,Rx Frames per Bin : 46.66us - 50us,Rx Frames per Bin : 50us - 53.34us,Rx Frames per Bin : 53.34us - 56.66us,Rx Frames per Bin : 56.66us - 60us,Rx Frames per Bin : 60us - 63.34us,Rx Frames per Bin : 63.34us - 66.66us,Rx Frames per Bin : 66.66us - 70us,Rx Frames per Bin : 70us - 73.34us,Rx Frames per Bin : 73.34us - 76.66us,Rx Frames per Bin : 76.66us - maxus,Loss %,Tx Frame Rate,Rx Frame Rate,Tx Rate (bps),Rx Rate (bps),Cut-Through Avg Latency (ns),Cut-Through Min Latency (ns),Cut-Through Max Latency (ns)
Port 1,0x1,HQoS Traffic-cpu7-flow0-lp - Flow Group 0001,45067986,14319810,0,0,2,2,1,2,0,2,1,1,2,1,1,1,2,14319792,68.226,751399.500,238748.000,9124995528.000,2899355712.000,149300544,33487,1271372950
Port 1,0x1,HQoS Traffic-cpu6-flow0-lp - Flow Group 0001,45067987,14319811,0,0,5,2,0,2,1,1,0,2,1,1,1,2,1,14319792,68.226,751400.000,238748.000,9125001600.000,2899355712.000,149354538,33395,1619954527
Port 1,0x1,HQoS Traffic-cpu5-flow0-lp - Flow Group 0001,45067987,14319810,0,0,3,1,1,1,2,0,1,2,1,1,1,2,1,14319793,68.226,751400.000,238748.500,9125001600.000,2899361784.000,149311624,33912,1440369107
Port 1,0x1,HQoS Traffic-cpu4-flow0-lp - Flow Group 0001,45067987,14319812,0,1,3,1,2,1,1,1,1,1,1,2,1,1,1,14319794,68.226,751400.000,238749.000,9125001600.000,2899367856.000,149616296,33125,1495736975
Port 1,0x1,HQoS Traffic-cpu3-flow0-lp - Flow Group 0001,45067987,14319811,0,0,4,1,1,1,1,2,1,1,1,2,0,1,2,14319793,68.226,751400.000,238748.500,9125001600.000,2899361784.000,149283381,33962,1480766805
Port 1,0x1,HQoS Traffic-cpu2-flow0-lp - Flow Group 0001,45067987,14319807,0,0,0,0,2,0,0,2,0,3,0,2,1,1,1,14319795,68.226,751400.000,238748.500,9125001600.000,2899361784.000,149309545,41725,1507359620
Port 1,0x1,HQoS Traffic-cpu1-flow0-lp - Flow Group 0001,45067987,14319811,0,0,4,1,1,1,1,1,2,0,2,1,1,1,2,14319793,68.226,751400.000,238748.500,9125001600.000,2899361784.000,149334483,34020,1334237817
Port 1,0x1,HQoS Traffic-cpu0-flow0-lp - Flow Group 0001,45067987,14319811,0,0,1,3,2,1,1,1,1,2,1,1,1,1,2,14319793,68.226,751400.000,238748.500,9125001600.000,2899361784.000,149363308,33922,1450821617
Port 1,0x0,HQoS Traffic-cpu7-flow0-hp - Flow Group 0001,10529968,10529938,0,80,892,1427,369,49,2,7,7,4,10,2,3,8,62,10527016,0.000,175562.000,175561.000,250000288.000,249998864.000,152751,32405,257747
Port 1,0x0,HQoS Traffic-cpu6-flow0-hp - Flow Group 0001,10529968,10529946,0,10,995,1410,384,15,3,6,5,3,7,4,5,9,60,10527030,0.000,175562.000,175567.000,250000288.000,250007408.000,153602,32520,252945
Port 1,0x0,HQoS Traffic-cpu5-flow0-hp - Flow Group 0001,10529968,10529944,0,34,1053,1408,310,8,7,6,6,7,5,5,7,2,67,10527019,0.000,175562.000,175563.000,250000288.000,250001712.000,153451,32112,250720
Port 1,0x0,HQoS Traffic-cpu4-flow0-hp - Flow Group 0001,10529968,10529936,0,68,860,1506,355,24,5,6,5,6,5,3,4,4,35,10527050,0.000,175562.000,175556.500,250000288.000,249992456.000,156001,32270,260287
Port 1,0x0,HQoS Traffic-cpu3-flow0-hp - Flow Group 0001,10529968,10529936,0,14,1044,1428,318,11,4,5,4,7,5,6,3,4,65,10527018,0.000,175561.500,175559.500,249999576.000,249996728.000,153036,32247,253197
Port 1,0x0,HQoS Traffic-cpu2-flow0-hp - Flow Group 0001,10529968,10529941,0,38,904,1444,412,14,3,7,1,9,5,5,7,4,66,10527022,0.000,175561.500,175560.500,249999576.000,249998152.000,153001,32452,261825
Port 1,0x0,HQoS Traffic-cpu1-flow0-hp - Flow Group 0001,10529968,10529940,0,28,913,1451,412,10,3,5,8,4,11,2,7,4,67,10527015,0.000,175561.500,175560.000,249999576.000,249997440.000,153429,32435,258680
Port 1,0x0,HQoS Traffic-cpu0-flow0-hp - Flow Group 0001,10529969,10529936,0,55,803,1523,419,13,5,7,10,3,7,7,6,6,69,10527003,0.000,175562.000,175558.500,250000288.000,249995304.000,152703,32132,255327
