Rx Port,IPv4 :Raw priority,Flow Group,Tx Frames,Rx Frames,Rx Frames per Bin : 0us - 30us,Rx Frames per Bin : 30us - 33.34us,Rx Frames per Bin : 33.34us - 36.66us,Rx Frames per Bin : 36.66us - 40us,Rx Frames per Bin : 40us - 43.34us,Rx Frames per Bin : 43.34us - 46.66us,Rx Frames per Bin : 46.66us - 50us,Rx Frames per Bin : 50us - 53.34us,Rx Frames per Bin : 53.34us - 56.66us,Rx Frames per Bin : 56.66us - 60us,Rx Frames per Bin : 60us - 63.34us,Rx Frames per Bin : 63.34us - 66.66us,Rx Frames per Bin : 66.66us - 70us,Rx Frames per Bin : 70us - 73.34us,Rx Frames per Bin : 73.34us - 76.66us,Rx Frames per Bin : 76.66us - maxus,Loss %,Tx Frame Rate,Rx Frame Rate,Tx Rate (bps),Rx Rate (bps),Cut-Through Avg Latency (ns),Cut-Through Min Latency (ns),Cut-Through Max Latency (ns)
Port 1,0x1,HQoS Traffic-cpu7-flow0-lp - Flow Group 0001,45069103,14320160,0,1,2,1,1,2,0,3,0,1,1,2,1,1,1,14320143,68.226,751400.000,238748.000,9125001600.000,2899355712.000,149315380,32962,1489209960
Port 1,0x1,HQoS Traffic-cpu6-flow0-lp - Flow Group 0001,45069103,14320160,0,1,0,2,2,1,1,2,0,1,2,1,1,1,1,14320144,68.226,751400.000,238748.000,9125001600.000,2899355712.000,149317710,33325,1364522207
Port 1,0x1,HQoS Traffic-cpu5-flow0-lp - Flow Group 0001,45069103,14320162,0,0,5,1,1,2,1,1,1,1,1,1,1,2,1,14320143,68.226,751399.500,238748.000,9124995528.000,2899355712.000,149336059,33912,1444626075
Port 1,0x1,HQoS Traffic-cpu4-flow0-lp - Flow Group 0001,45069103,14320161,0,0,2,1,2,1,1,2,0,2,1,1,2,1,1,14320144,68.226,751399.500,238748.000,9124995528.000,2899355712.000,149638025,33375,1478081565
Port 1,0x1,HQoS Traffic-cpu3-flow0-lp - Flow Group 0001,45069104,14320160,0,1,3,0,1,1,2,0,1,1,2,1,1,1,1,14320144,68.226,751400.000,238748.000,9125001600.000,2899355712.000,149356175,33172,1467399182
Port 1,0x1,HQoS Traffic-cpu2-flow0-lp - Flow Group 0001,45069104,14320160,0,0,2,1,1,1,2,1,1,2,0,1,2,1,1,14320144,68.226,751400.000,238748.500,9125001600.000,2899361784.000,149327912,34045,1610206045
Port 1,0x1,HQoS Traffic-cpu1-flow0-lp - Flow Group 0001,45069104,14320162,0,0,2,2,1,2,1,1,2,0,2,1,1,1,2,14320144,68.226,751400.000,238748.500,9125001600.000,2899361784.000,149257076,33947,1492056667
Port 1,0x1,HQoS Traffic-cpu0-flow0-lp - Flow Group 0001,45069104,14320162,0,0,4,0,3,0,1,1,2,0,1,2,1,1,1,14320145,68.226,751400.000,238748.500,9125001600.000,2899361784.000,149293241,33747,1488161225
Port 1,0x0,HQoS Traffic-cpu7-flow0-hp - Flow Group 0001,10530229,10530205,0,43,845,1557,346,20,7,2,6,3,8,6,6,3,57,10527296,0.000,175562.000,175563.500,250000288.000,250002424.000,152723,32337,259840
Port 1,0x0,HQoS Traffic-cpu6-flow0-hp - Flow Group 0001,10530229,10530204,0,23,1231,1183,355,20,7,7,4,4,5,4,8,4,51,10527298,0.000,175562.000,175561.000,250000288.000,249998864.000,153171,32272,257545
Port 1,0x0,HQoS Traffic-cpu5-flow0-hp - Flow Group 0001,10530229,10530205,0,62,925,1401,412,14,5,7,4,5,4,4,7,5,57,10527293,0.000,175562.000,175563.500,250000288.000,250002424.000,153378,32272,259905
Port 1,0x0,HQoS Traffic-cpu4-flow0-hp - Flow Group 0001,10530229,10530196,0,21,1060,1366,351,11,8,7,4,5,2,7,5,5,37,10527307,0.000,175562.000,175562.500,250000288.000,250001000.000,155835,32082,260102
Port 1,0x0,HQoS Traffic-cpu3-flow0-hp - Flow Group 0001,10530229,10530206,0,25,1079,1393,303,11,8,4,6,5,3,5,9,4,60,10527291,0.000,175561.500,175564.500,249999576.000,250003848.000,153617,32160,259625
Port 1,0x0,HQoS Traffic-cpu2-flow0-hp - Flow Group 0001,10530229,10530204,0,19,1097,1331,349,18,6,3,6,7,4,6,5,6,57,10527290,0.000,175561.500,175560.000,249999576.000,249997440.000,152821,32087,255627
Port 1,0x0,HQoS Traffic-cpu1-flow0-hp - Flow Group 0001,10530229,10530200,0,39,913,1426,422,15,4,6,5,5,8,2,10,2,62,10527281,0.000,175561.500,175559.500,249999576.000,249996728.000,153107,32350,255680
Port 1,0x0,HQoS Traffic-cpu0-flow0-hp - Flow Group 0001,10530229,10530203,0,58,883,1466,399,9,5,5,4,6,4,4,4,5,65,10527286,0.000,175561.500,175564.500,249999576.000,250003848.000,152879,32260,256065
