Rx Port,IPv4 :Raw priority,Flow Group,Tx Frames,Rx Frames,Rx Frames per Bin : 0us - 30us,Rx Frames per Bin : 30us - 33.34us,Rx Frames per Bin : 33.34us - 36.66us,Rx Frames per Bin : 36.66us - 40us,Rx Frames per Bin : 40us - 43.34us,Rx Frames per Bin : 43.34us - 46.66us,Rx Frames per Bin : 46.66us - 50us,Rx Frames per Bin : 50us - 53.34us,Rx Frames per Bin : 53.34us - 56.66us,Rx Frames per Bin : 56.66us - 60us,Rx Frames per Bin : 60us - 63.34us,Rx Frames per Bin : 63.34us - 66.66us,Rx Frames per Bin : 66.66us - 70us,Rx Frames per Bin : 70us - 73.34us,Rx Frames per Bin : 73.34us - 76.66us,Rx Frames per Bin : 76.66us - maxus,Loss %,Tx Frame Rate,Rx Frame Rate,Tx Rate (bps),Rx Rate (bps),Cut-Through Avg Latency (ns),Cut-Through Min Latency (ns),Cut-Through Max Latency (ns)
Port 1,0x1,HQoS Traffic-cpu7-flow0-lp - Flow Group 0001,59270166,14320451,0,0,2,1,1,2,0,2,0,2,1,0,2,1,0,14320437,75.839,988142.500,238747.500,12000002520.000,2899349640.000,154294199,33632,1683103440
Port 1,0x1,HQoS Traffic-cpu6-flow0-lp - Flow Group 0001,59270166,14320453,0,0,4,1,1,1,1,0,2,1,1,1,1,1,1,14320437,75.839,988142.500,238748.000,12000002520.000,2899355712.000,154272847,34000,1549641905
Port 1,0x1,HQoS Traffic-cpu5-flow0-lp - Flow Group 0001,59270166,14320454,0,0,3,1,1,1,1,1,2,1,1,1,0,2,0,14320439,75.839,988142.000,238749.000,11999996448.000,2899367856.000,154339628,34245,1580474845
Port 1,0x1,HQoS Traffic-cpu4-flow0-lp - Flow Group 0001,59270166,14320453,0,0,2,2,1,2,0,2,0,2,0,1,2,0,1,14320438,75.839,988142.000,238748.500,11999996448.000,2899361784.000,154337184,34122,1519836205
Port 1,0x1,HQoS Traffic-cpu3-flow0-lp - Flow Group 0001,59270166,14320453,0,0,3,1,1,1,1,1,1,1,1,2,0,1,1,14320438,75.839,988142.000,238748.500,11999996448.000,2899361784.000,154317416,33892,1400042050
Port 1,0x1,HQoS Traffic-cpu2-flow0-lp - Flow Group 0001,59270167,14320453,0,0,3,1,2,1,1,1,1,2,0,1,1,2,1,14320436,75.839,988142.500,238748.000,12000002520.000,2899355712.000,154291556,34137,1416268592
Port 1,0x1,HQoS Traffic-cpu1-flow0-lp - Flow Group 0001,59270167,14320452,0,0,2,0,1,2,0,1,2,1,1,1,1,1,1,14320438,75.839,988142.500,238748.500,12000002520.000,2899361784.000,154281506,33992,1419745172
Port 1,0x1,HQoS Traffic-cpu0-flow0-lp - Flow Group 0001,59270167,14320452,0,0,1,2,1,0,2,1,0,2,1,1,1,2,0,14320438,75.839,988142.500,238748.500,12000002520.000,2899361784.000,154324260,33790,1645658795
Port 1,0x0,HQoS Traffic-cpu7-flow0-hp - Flow Group 0001,10530443,10530421,0,2,471,890,494,68,3,4,4,3,3,2,4,1,42,10528430,0.000,175561.500,175566.000,249999576.000,250005984.000,154809,33065,262110
Port 1,0x0,HQoS Traffic-cpu6-flow0-hp - Flow Group 0001,10530444,10530416,0,1,451,914,517,36,11,3,5,3,1,4,1,5,27,10528437,0.000,175562.000,175565.000,250000288.000,250004560.000,155232,33225,256152
Port 1,0x0,HQoS Traffic-cpu5-flow0-hp - Flow Group 0001,10530444,10530409,0,2,475,918,488,41,6,2,2,5,1,4,2,3,25,10528435,0.000,175562.000,175556.000,250000288.000,249991744.000,156108,33157,254420
Port 1,0x0,HQoS Traffic-cpu4-flow0-hp - Flow Group 0001,10530444,10530414,0,2,471,906,486,57,5,4,4,5,3,4,2,3,11,10528451,0.000,175562.000,175558.500,250000288.000,249995304.000,158680,32852,257185
Port 1,0x0,HQoS Traffic-cpu3-flow0-hp - Flow Group 0001,10530444,10530411,0,3,471,946,476,30,4,4,2,1,2,3,2,4,24,10528439,0.000,175562.000,175561.000,250000288.000,249998864.000,155822,32585,263742
Port 1,0x0,HQoS Traffic-cpu2-flow0-hp - Flow Group 0001,10530444,10530427,0,3,499,923,463,38,6,2,3,3,3,4,1,3,32,10528444,0.000,175562.000,175566.000,250000288.000,250005984.000,155756,32922,258795
Port 1,0x0,HQoS Traffic-cpu1-flow0-hp - Flow Group 0001,10530444,10530418,0,2,384,988,522,30,4,3,4,3,2,5,0,5,27,10528439,0.000,175561.500,175561.500,249999576.000,249999576.000,155767,33110,258095
Port 1,0x0,HQoS Traffic-cpu0-flow0-hp - Flow Group 0001,10530444,10530417,0,4,475,894,490,62,4,5,3,2,4,2,3,3,23,10528443,0.000,175561.500,175560.000,249999576.000,249997440.000,155384,32887,261375
