Rx Port,IPv4 :Raw priority,Flow Group,Tx Frames,Rx Frames,Rx Frames per Bin : 0us - 30us,Rx Frames per Bin : 30us - 33.34us,Rx Frames per Bin : 33.34us - 36.66us,Rx Frames per Bin : 36.66us - 40us,Rx Frames per Bin : 40us - 43.34us,Rx Frames per Bin : 43.34us - 46.66us,Rx Frames per Bin : 46.66us - 50us,Rx Frames per Bin : 50us - 53.34us,Rx Frames per Bin : 53.34us - 56.66us,Rx Frames per Bin : 56.66us - 60us,Rx Frames per Bin : 60us - 63.34us,Rx Frames per Bin : 63.34us - 66.66us,Rx Frames per Bin : 66.66us - 70us,Rx Frames per Bin : 70us - 73.34us,Rx Frames per Bin : 73.34us - 76.66us,Rx Frames per Bin : 76.66us - maxus,Loss %,Tx Frame Rate,Rx Frame Rate,Tx Rate (bps),Rx Rate (bps),Cut-Through Avg Latency (ns),Cut-Through Min Latency (ns),Cut-Through Max Latency (ns)
Port 1,0x1,HQoS Traffic-cpu7-flow0-lp - Flow Group 0001,59268701,14320097,0,0,3,0,1,1,2,0,1,1,1,2,0,2,1,14320082,75.839,988142.500,238748.500,12000002520.000,2899361784.000,154263207,33767,1571832240
Port 1,0x1,HQoS Traffic-cpu6-flow0-lp - Flow Group 0001,59268701,14320098,0,0,3,2,1,1,1,1,1,1,1,1,1,1,1,14320082,75.839,988142.500,238748.500,12000002520.000,2899361784.000,154298949,34260,1325351037
Port 1,0x1,HQoS Traffic-cpu5-flow0-lp - Flow Group 0001,59268701,14320097,0,0,2,0,1,2,0,2,1,1,1,1,1,1,1,14320083,75.839,988142.500,238749.000,12000002520.000,2899367856.000,154346419,34260,1395102200
Port 1,0x1,HQoS Traffic-cpu4-flow0-lp - Flow Group 0001,59268701,14320097,0,0,3,1,2,0,2,0,2,1,0,2,1,1,1,14320081,75.839,988142.500,238748.000,12000002520.000,2899355712.000,154316780,34260,1301505780
Port 1,0x1,HQoS Traffic-cpu3-flow0-lp - Flow Group 0001,59268701,14320097,0,0,4,0,1,1,1,2,0,2,0,2,1,1,1,14320081,75.839,988142.000,238748.000,11999996448.000,2899355712.000,154313933,33722,1652635192
Port 1,0x1,HQoS Traffic-cpu2-flow0-lp - Flow Group 0001,59268701,14320098,0,0,4,1,1,2,1,0,2,1,1,1,1,1,1,14320081,75.839,988142.000,238747.500,11999996448.000,2899349640.000,154321286,33967,1487287405
Port 1,0x1,HQoS Traffic-cpu1-flow0-lp - Flow Group 0001,59268701,14320097,0,0,2,1,1,1,1,1,1,1,1,1,1,1,2,14320082,75.839,988142.000,238748.500,11999996448.000,2899361784.000,154315549,33845,1322299380
Port 1,0x1,HQoS Traffic-cpu0-flow0-lp - Flow Group 0001,59268701,14320096,0,0,2,1,1,1,1,1,2,0,1,1,1,2,1,14320081,75.839,988142.000,238747.500,11999996448.000,2899349640.000,154300442,34335,1319984227
Port 1,0x0,HQoS Traffic-cpu7-flow0-hp - Flow Group 0001,10530183,10530159,0,1,502,926,439,56,7,3,3,2,3,2,3,3,32,10528177,0.000,175561.500,175562.500,249999576.000,250001000.000,154711,33100,259072
Port 1,0x0,HQoS Traffic-cpu6-flow0-hp - Flow Group 0001,10530183,10530159,0,1,553,867,451,57,0,3,3,6,3,3,4,4,26,10528178,0.000,175561.500,175563.000,249999576.000,250001712.000,155170,33242,256187
Port 1,0x0,HQoS Traffic-cpu5-flow0-hp - Flow Group 0001,10530183,10530151,0,0,433,916,513,60,6,4,2,5,2,3,2,0,27,10528178,0.000,175561.500,175557.500,249999576.000,249993880.000,156316,33387,259762
Port 1,0x0,HQoS Traffic-cpu4-flow0-hp - Flow Group 0001,10530183,10530160,0,1,433,948,496,45,7,5,2,4,3,2,2,3,17,10528192,0.000,175561.500,175562.500,249999576.000,250001000.000,158332,33197,266547
Port 1,0x0,HQoS Traffic-cpu3-flow0-hp - Flow Group 0001,10530184,10530161,0,4,431,995,462,34,5,3,3,1,3,3,1,4,29,10528183,0.000,175562.000,175564.000,250000288.000,250003136.000,155195,32840,257675
Port 1,0x0,HQoS Traffic-cpu2-flow0-hp - Flow Group 0001,10530184,10530160,0,1,421,979,489,35,5,5,2,4,1,4,3,2,42,10528167,0.000,175562.000,175566.000,250000288.000,250005984.000,155343,33230,256942
Port 1,0x0,HQoS Traffic-cpu1-flow0-hp - Flow Group 0001,10530184,10530154,0,1,530,883,465,45,4,3,4,3,3,4,2,2,20,10528185,0.000,175562.000,175558.000,250000288.000,249994592.000,155847,33217,265067
Port 1,0x0,HQoS Traffic-cpu0-flow0-hp - Flow Group 0001,10530184,10530162,0,1,527,910,440,45,5,4,4,4,4,2,4,3,23,10528186,0.000,175562.000,175565.000,250000288.000,250004560.000,155401,32845,259867
