Rx Port,IPv4 :Raw priority,Flow Group,Tx Frames,Rx Frames,Rx Frames per Bin : 0us - 30us,Rx Frames per Bin : 30us - 48us,Rx Frames per Bin : 48us - 66us,Rx Frames per Bin : 66us - 84us,Rx Frames per Bin : 84us - 102us,Rx Frames per Bin : 102us - 120us,Rx Frames per Bin : 120us - 138us,Rx Frames per Bin : 138us - 156us,Rx Frames per Bin : 156us - 174us,Rx Frames per Bin : 174us - 192us,Rx Frames per Bin : 192us - 210us,Rx Frames per Bin : 210us - 228us,Rx Frames per Bin : 228us - 246us,Rx Frames per Bin : 246us - 264us,Rx Frames per Bin : 264us - 282us,Rx Frames per Bin : 282us - maxus,Loss %,Tx Frame Rate,Rx Frame Rate,Tx Rate (bps),Rx Rate (bps),Cut-Through Avg Latency (ns),Cut-Through Min Latency (ns),Cut-Through Max Latency (ns)
Port 1,0x3,HQoS Traffic-cpu0-flow0-lp3 - Flow Group 0001,62559891,38186003,0,33,31,28,34,28,29,29,29,30,29,29,31,29,30,38185584,38.961,1043039.000,636661.500,12666665616.000,7731617256.000,32096861,37060,88283940
Port 1,0x2,HQoS Traffic-cpu0-flow0-lp2 - Flow Group 0001,42804135,38185993,0,38,109,105,107,107,106,103,107,106,107,106,106,106,110,38184570,10.789,713658.000,636661.500,8666662752.000,7731617256.000,28910399,36480,81575372
Port 1,0x1,HQoS Traffic-cpu0-flow0-lp1 - Flow Group 0001,42804136,38185993,0,36,105,104,109,106,104,107,106,108,109,104,106,103,111,38184575,10.789,713658.500,636661.500,8666668824.000,7731617256.000,28031113,36087,91596050
Port 1,0x0,HQoS Traffic-cpu0-flow0-hp - Flow Group 0001,9877878,9877821,0,2870,475,125,3911,8310,41300,124805,155747,299772,532836,652583,672693,665124,659743,6057527,0.001,164690.500,164691.500,2000001432.000,2000013576.000,310482,33387,789322
