Rx Port,IPv4 :Raw priority,Flow Group,Tx Frames,Rx Frames,Rx Frames per Bin : 0us - 30us,Rx Frames per Bin : 30us - 2028us,Rx Frames per Bin : 2028us - 4026us,Rx Frames per Bin : 4026us - 6024us,Rx Frames per Bin : 6024us - 8022us,Rx Frames per Bin : 8022us - 10020us,Rx Frames per Bin : 10020us - 12018us,Rx Frames per Bin : 12018us - 14016us,Rx Frames per Bin : 14016us - 16014us,Rx Frames per Bin : 16014us - 18012us,Rx Frames per Bin : 18012us - 20010us,Rx Frames per Bin : 20010us - 22008us,Rx Frames per Bin : 22008us - 24006us,Rx Frames per Bin : 24006us - 26004us,Rx Frames per Bin : 26004us - 28002us,Rx Frames per Bin : 28002us - maxus,Loss %,Tx Frame Rate,Rx Frame Rate,Tx Rate (bps),Rx Rate (bps),Cut-Through Avg Latency (ns),Cut-Through Min Latency (ns),Cut-Through Max Latency (ns)
Port 1,0x7,HQoS Traffic-cpu0-flow0-lp7 - Flow Group 0001,18345109,16237016,0,796095,84832,79171,87294,90201,95947,101313,108660,116051,124089,132655,141512,150520,159946,13968730,11.491,305853.500,270525.500,3714284904.000,3285261672.000,67339470,33977,254574555
Port 1,0x6,HQoS Traffic-cpu0-flow0-lp6 - Flow Group 0001,18345109,15446271,0,763059,36555,33952,37313,39150,42724,45697,49708,54117,58552,64061,70332,77636,85605,13987810,15.802,305853.500,255188.500,3714284904.000,3099009144.000,77215293,33767,283504412
Port 1,0x5,HQoS Traffic-cpu0-flow0-lp5 - Flow Group 0001,18345109,14719653,0,751438,19413,17120,18519,19123,21093,23039,25350,28168,31571,35637,40386,45606,50986,13592204,19.763,305853.500,242272.000,3714284904.000,2942151168.000,84980026,33977,303730115
Port 1,0x4,HQoS Traffic-cpu0-flow0-lp4 - Flow Group 0001,18345109,14591605,0,751197,18414,15801,16683,17335,19274,20784,22894,25320,27929,30943,34602,38596,43007,13508826,20.461,305853.500,241531.500,3714284904.000,2933158536.000,86440196,34097,314082892
Port 1,0x3,HQoS Traffic-cpu0-flow0-lp3 - Flow Group 0001,18345109,15690884,0,790410,75517,67255,71896,72742,76629,79994,83974,88234,93539,98816,104523,111485,118877,13756993,14.468,305853.500,258538.500,3714284904.000,3139691544.000,73434139,33382,264788297
Port 1,0x2,HQoS Traffic-cpu0-flow0-lp2 - Flow Group 0001,18345110,17767960,0,1213408,672158,569465,576860,543289,532333,514364,500530,484412,471033,458070,445782,435864,425939,9924453,3.146,305854.000,295775.500,3714290976.000,3591897672.000,38544114,33482,234897287
Port 1,0x1,HQoS Traffic-cpu0-flow0-lp1 - Flow Group 0001,18345110,18342898,0,4507773,4410149,2493624,1989796,1308184,982190,697733,517048,376595,276084,202905,150173,110873,82539,237232,0.012,305853.500,305853.000,3714284904.000,3714278832.000,6297437,33577,99082727
Port 1,0x0,HQoS Traffic-cpu0-flow0-hp - Flow Group 0001,9878136,9877584,0,3597167,3449426,1318016,788604,353567,188592,90205,46262,22670,11517,5835,2916,1442,675,690,0.006,164690.000,164697.000,1999995360.000,2000080368.000,3400305,32285,43103157
