Rx Port,IPv4 :Raw priority,Flow Group,Tx Frames,Rx Frames,Rx Frames per Bin : 0us - 30us,Rx Frames per Bin : 30us - 2028us,Rx Frames per Bin : 2028us - 4026us,Rx Frames per Bin : 4026us - 6024us,Rx Frames per Bin : 6024us - 8022us,Rx Frames per Bin : 8022us - 10020us,Rx Frames per Bin : 10020us - 12018us,Rx Frames per Bin : 12018us - 14016us,Rx Frames per Bin : 14016us - 16014us,Rx Frames per Bin : 16014us - 18012us,Rx Frames per Bin : 18012us - 20010us,Rx Frames per Bin : 20010us - 22008us,Rx Frames per Bin : 22008us - 24006us,Rx Frames per Bin : 24006us - 26004us,Rx Frames per Bin : 26004us - 28002us,Rx Frames per Bin : 28002us - maxus,Loss %,Tx Frame Rate,Rx Frame Rate,Tx Rate (bps),Rx Rate (bps),Cut-Through Avg Latency (ns),Cut-Through Min Latency (ns),Cut-Through Max Latency (ns)
Port 1,0x7,HQoS Traffic-cpu0-flow0-lp7 - Flow Group 0001,18345028,16242855,0,799457,89565,83222,92054,94439,100594,106333,112361,119274,127570,136368,146129,154637,164184,13916668,11.459,305853.500,268192.500,3714284904.000,3256929720.000,67049601,33730,261899002
Port 1,0x6,HQoS Traffic-cpu0-flow0-lp6 - Flow Group 0001,18345028,15418475,0,762589,35575,33222,36907,38547,41825,44888,48903,53200,57867,63520,69535,76480,84400,13971017,15.953,305853.500,256509.500,3714284904.000,3115051368.000,77534301,33902,263637202
Port 1,0x5,HQoS Traffic-cpu0-flow0-lp5 - Flow Group 0001,18345028,14720214,0,752219,20367,17918,19743,20791,22852,25049,28008,30989,34287,37908,42308,46910,52065,13568800,19.759,305853.500,244467.000,3714284904.000,2968807248.000,84889691,34040,277874290
Port 1,0x4,HQoS Traffic-cpu0-flow0-lp4 - Flow Group 0001,18345028,14608930,0,751264,18761,16102,17237,17717,19343,20863,22538,25023,28190,31634,35689,40512,45988,13518069,20.366,305853.500,240002.000,3714284904.000,2914584288.000,86215637,33932,291388135
Port 1,0x3,HQoS Traffic-cpu0-flow0-lp3 - Flow Group 0001,18345028,15692117,0,790627,75983,68021,73046,74301,78108,81394,85329,90643,95918,101068,107321,114116,121327,13734915,14.461,305853.500,259315.000,3714284904.000,3149121360.000,73312055,33645,256310425
Port 1,0x2,HQoS Traffic-cpu0-flow0-lp2 - Flow Group 0001,18345028,17770156,0,1220107,679826,573253,579510,543870,530003,510408,495262,480651,467298,453632,442912,431990,423444,9937990,3.134,305853.500,295243.000,3714284904.000,3585430992.000,38527002,33555,237932987
Port 1,0x1,HQoS Traffic-cpu0-flow0-lp1 - Flow Group 0001,18345028,18343056,0,4521771,4420901,2489073,1984894,1304038,979646,696191,513460,373682,276572,203881,150360,111220,81806,235561,0.011,305853.500,306036.000,3714284904.000,3716501184.000,6286497,33397,102290765
Port 1,0x0,HQoS Traffic-cpu0-flow0-hp - Flow Group 0001,9878093,9877529,0,3605865,3452205,1314104,785351,350589,187291,89988,45844,22835,11655,5873,2940,1508,786,695,0.006,164690.500,164664.000,2000001432.000,1999679616.000,3393997,32800,39857492
