Rx Port,IPv4 :Raw priority,Flow Group,Tx Frames,Rx Frames,Rx Frames per Bin : 0us - 30us,Rx Frames per Bin : 30us - 48us,Rx Frames per Bin : 48us - 66us,Rx Frames per Bin : 66us - 84us,Rx Frames per Bin : 84us - 102us,Rx Frames per Bin : 102us - 120us,Rx Frames per Bin : 120us - 138us,Rx Frames per Bin : 138us - 156us,Rx Frames per Bin : 156us - 174us,Rx Frames per Bin : 174us - 192us,Rx Frames per Bin : 192us - 210us,Rx Frames per Bin : 210us - 228us,Rx Frames per Bin : 228us - 246us,Rx Frames per Bin : 246us - 264us,Rx Frames per Bin : 264us - 282us,Rx Frames per Bin : 282us - maxus,Loss %,Tx Frame Rate,Rx Frame Rate,Tx Rate (bps),Rx Rate (bps),Cut-Through Avg Latency (ns),Cut-Through Min Latency (ns),Cut-Through Max Latency (ns)
Port 1,0x1,HQoS Traffic-cpu7-flow0-lp - Flow Group 0001,21916842,14319949,0,15,13,14,11,13,13,11,13,13,12,13,12,12,12,14319772,34.662,365407.000,238748.000,4437502608.000,2899355712.000,121015881,32910,1102594045
Port 1,0x1,HQoS Traffic-cpu6-flow0-lp - Flow Group 0001,21916842,14319949,0,14,13,13,11,13,12,12,13,12,13,12,13,12,12,14319774,34.662,365407.000,238748.000,4437502608.000,2899355712.000,121533327,33542,1195123230
Port 1,0x1,HQoS Traffic-cpu5-flow0-lp - Flow Group 0001,21916842,14319949,0,13,14,13,13,12,12,13,11,13,13,11,12,14,12,14319773,34.662,365407.000,238748.000,4437502608.000,2899355712.000,121845978,33742,1144769267
Port 1,0x1,HQoS Traffic-cpu4-flow0-lp - Flow Group 0001,21916842,14319950,0,13,15,11,13,13,12,13,12,12,12,13,12,12,13,14319774,34.662,365407.000,238748.500,4437502608.000,2899361784.000,121340424,33122,1110632405
Port 1,0x1,HQoS Traffic-cpu3-flow0-lp - Flow Group 0001,21916842,14319948,0,11,11,10,13,12,14,11,13,12,12,12,14,11,13,14319779,34.662,365407.000,238748.500,4437502608.000,2899361784.000,121439452,32735,1169627920
Port 1,0x1,HQoS Traffic-cpu2-flow0-lp - Flow Group 0001,21916842,14319950,0,11,12,13,12,13,12,13,12,12,14,11,13,12,11,14319779,34.662,365406.500,238749.000,4437496536.000,2899367856.000,121331396,37157,1259356700
Port 1,0x1,HQoS Traffic-cpu1-flow0-lp - Flow Group 0001,21916842,14319950,0,13,12,14,12,13,11,13,12,12,13,13,12,12,13,14319775,34.662,365406.500,238748.500,4437496536.000,2899361784.000,121876439,36715,1158281435
Port 1,0x1,HQoS Traffic-cpu0-flow0-lp - Flow Group 0001,21916842,14319947,0,10,12,10,12,13,13,12,12,13,13,11,12,13,13,14319778,34.662,365406.500,238747.500,4437496536.000,2899349640.000,121554183,33252,1156481202
Port 1,0x0,HQoS Traffic-cpu7-flow0-hp - Flow Group 0001,10530073,10530050,0,11402,68,6610,101778,918609,2620014,2648706,2474640,1607200,131827,8352,797,47,0,0,0.000,175562.000,175564.000,250000288.000,250003136.000,149019,31017,255182
Port 1,0x0,HQoS Traffic-cpu6-flow0-hp - Flow Group 0001,10530073,10530049,0,11407,72,6281,99494,856283,2580316,2652173,2456620,1712945,145137,8397,863,61,0,0,0.000,175562.000,175563.500,250000288.000,250002424.000,149702,30835,257530
Port 1,0x0,HQoS Traffic-cpu5-flow0-hp - Flow Group 0001,10530073,10530050,0,11400,68,5853,98771,833540,2574391,2652803,2451636,1746911,145755,8168,702,52,0,0,0.000,175562.000,175562.500,250000288.000,250001000.000,149896,30905,254855
Port 1,0x0,HQoS Traffic-cpu4-flow0-hp - Flow Group 0001,10530073,10530042,0,11400,71,4103,99228,656626,2402676,2628119,2409274,2065829,238560,12868,1170,118,0,0,0.000,175562.000,175559.500,250000288.000,249996728.000,152406,31082,262560
Port 1,0x0,HQoS Traffic-cpu3-flow0-hp - Flow Group 0001,10530073,10530045,0,11399,67,6263,99274,856982,2581206,2649267,2454092,1714499,147286,8856,803,51,0,0,0.000,175561.500,175562.000,249999576.000,250000288.000,149708,30977,257355
Port 1,0x0,HQoS Traffic-cpu2-flow0-hp - Flow Group 0001,10530073,10530038,0,11399,75,6233,99615,864295,2587597,2651168,2460009,1696110,144073,8651,742,71,0,0,0.000,175561.500,175557.500,249999576.000,249993880.000,149597,31187,256822
Port 1,0x0,HQoS Traffic-cpu1-flow0-hp - Flow Group 0001,10530073,10530043,0,11400,71,5826,99701,823121,2558955,2650581,2445731,1769086,155773,8837,876,85,0,0,0.000,175561.500,175561.000,249999576.000,249998864.000,150078,30525,257387
Port 1,0x0,HQoS Traffic-cpu0-flow0-hp - Flow Group 0001,10530074,10530049,0,11396,56,6160,100196,855086,2576972,2648164,2455592,1718228,148675,8585,855,84,0,0,0.000,175562.000,175565.500,250000288.000,250005272.000,149739,30707,258297
