Rx Port,IPv4 :Raw priority,Flow Group,Tx Frames,Rx Frames,Rx Frames per Bin : 0us - 30us,Rx Frames per Bin : 30us - 48us,Rx Frames per Bin : 48us - 66us,Rx Frames per Bin : 66us - 84us,Rx Frames per Bin : 84us - 102us,Rx Frames per Bin : 102us - 120us,Rx Frames per Bin : 120us - 138us,Rx Frames per Bin : 138us - 156us,Rx Frames per Bin : 156us - 174us,Rx Frames per Bin : 174us - 192us,Rx Frames per Bin : 192us - 210us,Rx Frames per Bin : 210us - 228us,Rx Frames per Bin : 228us - 246us,Rx Frames per Bin : 246us - 264us,Rx Frames per Bin : 264us - 282us,Rx Frames per Bin : 282us - maxus,Loss %,Tx Frame Rate,Rx Frame Rate,Tx Rate (bps),Rx Rate (bps),Cut-Through Avg Latency (ns),Cut-Through Min Latency (ns),Cut-Through Max Latency (ns)
Port 1,0x1,HQoS Traffic-cpu7-flow0-lp - Flow Group 0001,21916974,14320039,0,12,13,13,13,13,11,12,14,11,13,12,13,12,13,14319864,34.662,365406.500,238748.500,4437496536.000,2899361784.000,120877958,36987,1135940642
Port 1,0x1,HQoS Traffic-cpu6-flow0-lp - Flow Group 0001,21916974,14320037,0,11,12,12,12,12,12,13,13,12,12,13,11,13,13,14319866,34.662,365406.500,238748.500,4437496536.000,2899361784.000,121538187,32535,1090280977
Port 1,0x1,HQoS Traffic-cpu5-flow0-lp - Flow Group 0001,21916974,14320040,0,14,14,12,12,13,12,12,13,12,12,14,11,12,13,14319864,34.662,365406.500,238748.500,4437496536.000,2899361784.000,121954285,33185,1162279632
Port 1,0x1,HQoS Traffic-cpu4-flow0-lp - Flow Group 0001,21916975,14320038,0,11,13,15,12,12,12,12,13,13,12,13,12,13,12,14319863,34.662,365407.000,238748.500,4437502608.000,2899361784.000,121754737,33387,1194276095
Port 1,0x1,HQoS Traffic-cpu3-flow0-lp - Flow Group 0001,21916975,14320038,0,12,11,12,13,13,13,12,12,12,12,13,13,12,12,14319866,34.662,365407.000,238748.500,4437502608.000,2899361784.000,121574030,32965,1208201495
Port 1,0x1,HQoS Traffic-cpu2-flow0-lp - Flow Group 0001,21916975,14320040,0,14,14,12,13,12,12,13,12,12,13,13,12,13,11,14319864,34.662,365407.000,238748.500,4437502608.000,2899361784.000,121385491,34237,1296974675
Port 1,0x1,HQoS Traffic-cpu1-flow0-lp - Flow Group 0001,21916975,14320039,0,16,13,10,12,13,12,14,12,12,12,12,13,12,13,14319863,34.662,365407.000,238748.500,4437502608.000,2899361784.000,121616184,33275,1169304577
Port 1,0x1,HQoS Traffic-cpu0-flow0-lp - Flow Group 0001,21916975,14320039,0,16,12,11,12,13,11,13,14,12,11,13,13,12,13,14319863,34.662,365407.000,238748.000,4437502608.000,2899355712.000,121160560,32850,1106734052
Port 1,0x0,HQoS Traffic-cpu7-flow0-hp - Flow Group 0001,10530136,10530106,0,11406,65,6615,100948,918437,2618575,2647944,2473328,1612868,130736,8313,826,45,0,0,0.000,175561.500,175560.500,249999576.000,249998152.000,149037,31082,256457
Port 1,0x0,HQoS Traffic-cpu6-flow0-hp - Flow Group 0001,10530137,10530110,0,11399,77,6299,99920,856360,2574737,2649254,2455882,1719592,147325,8458,749,58,0,0,0.000,175562.000,175559.000,250000288.000,249996016.000,149737,30995,261007
Port 1,0x0,HQoS Traffic-cpu5-flow0-hp - Flow Group 0001,10530137,10530109,0,11396,81,6093,99150,830128,2564492,2650171,2449058,1760892,149518,8346,724,60,0,0,0.000,175562.000,175563.000,250000288.000,250001712.000,149982,30775,259650
Port 1,0x0,HQoS Traffic-cpu4-flow0-hp - Flow Group 0001,10530137,10530116,0,11400,74,4209,99445,656148,2400177,2624914,2408880,2074087,237122,12342,1180,138,0,0,0.000,175562.000,175562.000,250000288.000,250000288.000,152434,31077,259172
Port 1,0x0,HQoS Traffic-cpu3-flow0-hp - Flow Group 0001,10530137,10530107,0,11397,69,6980,101105,876638,2586310,2642379,2457210,1695447,143026,8692,797,57,0,0,0.000,175562.000,175560.000,250000288.000,249997440.000,149539,30827,254987
Port 1,0x0,HQoS Traffic-cpu2-flow0-hp - Flow Group 0001,10530137,10530106,0,11395,71,6303,100218,857023,2583334,2649512,2456695,1710542,145265,8837,855,56,0,0,0.000,175562.000,175560.000,250000288.000,249997440.000,149685,30830,257345
Port 1,0x0,HQoS Traffic-cpu1-flow0-hp - Flow Group 0001,10530137,10530112,0,11407,67,5993,98634,822356,2561616,2649670,2446716,1769494,154062,9061,964,72,0,0,0.000,175561.500,175559.500,249999576.000,249996728.000,150078,31005,258797
Port 1,0x0,HQoS Traffic-cpu0-flow0-hp - Flow Group 0001,10530137,10530114,0,11401,66,6331,100066,863093,2588171,2649944,2458819,1699755,142711,8787,915,55,0,0,0.000,175561.500,175563.000,249999576.000,250001712.000,149602,31000,260415
