Rx Port,IPv4 :Raw priority,Flow Group,Tx Frames,Rx Frames,Rx Frames per Bin : 0us - 30us,Rx Frames per Bin : 30us - 48us,Rx Frames per Bin : 48us - 66us,Rx Frames per Bin : 66us - 84us,Rx Frames per Bin : 84us - 102us,Rx Frames per Bin : 102us - 120us,Rx Frames per Bin : 120us - 138us,Rx Frames per Bin : 138us - 156us,Rx Frames per Bin : 156us - 174us,Rx Frames per Bin : 174us - 192us,Rx Frames per Bin : 192us - 210us,Rx Frames per Bin : 210us - 228us,Rx Frames per Bin : 228us - 246us,Rx Frames per Bin : 246us - 264us,Rx Frames per Bin : 264us - 282us,Rx Frames per Bin : 282us - maxus,Loss %,Tx Frame Rate,Rx Frame Rate,Tx Rate (bps),Rx Rate (bps),Cut-Through Avg Latency (ns),Cut-Through Min Latency (ns),Cut-Through Max Latency (ns)
Port 1,0x1,HQoS Traffic-cpu7-flow0-lp - Flow Group 0001,21916380,14319645,0,15,12,13,13,11,12,14,12,12,12,13,12,13,12,14319469,34.662,365407.000,238748.000,4437502608.000,2899355712.000,120974691,32230,1233914912
Port 1,0x1,HQoS Traffic-cpu6-flow0-lp - Flow Group 0001,21916380,14319645,0,13,13,13,12,12,13,12,14,12,13,12,12,13,12,14319469,34.662,365407.000,238748.500,4437502608.000,2899361784.000,121822317,32885,1030131292
Port 1,0x1,HQoS Traffic-cpu5-flow0-lp - Flow Group 0001,21916380,14319645,0,14,13,12,12,13,12,13,12,11,14,13,12,12,13,14319469,34.662,365407.000,238748.500,4437502608.000,2899361784.000,122005558,32977,1280300935
Port 1,0x1,HQoS Traffic-cpu4-flow0-lp - Flow Group 0001,21916380,14319644,0,15,13,11,13,11,14,12,12,14,12,11,12,13,13,14319468,34.662,365407.000,238748.000,4437502608.000,2899355712.000,121484593,32655,1243344155
Port 1,0x1,HQoS Traffic-cpu3-flow0-lp - Flow Group 0001,21916380,14319644,0,13,11,11,12,12,13,11,14,13,11,13,13,13,11,14319473,34.662,365407.000,238748.000,4437502608.000,2899355712.000,121695782,32442,1243735652
Port 1,0x1,HQoS Traffic-cpu2-flow0-lp - Flow Group 0001,21916380,14319645,0,13,14,12,13,11,12,12,14,12,13,12,12,12,12,14319471,34.662,365406.500,238748.500,4437496536.000,2899361784.000,121589966,32147,1138703232
Port 1,0x1,HQoS Traffic-cpu1-flow0-lp - Flow Group 0001,21916380,14319645,0,17,11,13,12,12,13,12,12,14,11,13,13,11,12,14319469,34.662,365406.500,238748.000,4437496536.000,2899355712.000,121830444,32930,1168091397
Port 1,0x1,HQoS Traffic-cpu0-flow0-lp - Flow Group 0001,21916380,14319646,0,14,14,12,13,12,12,12,13,12,12,13,13,12,12,14319470,34.662,365406.500,238748.500,4437496536.000,2899361784.000,121717733,31860,1270138045
Port 1,0x0,HQoS Traffic-cpu7-flow0-hp - Flow Group 0001,10529851,10529827,0,11399,77,6735,100840,924175,2623531,2647184,2476640,1604568,126066,7783,775,54,0,0,0.000,175562.000,175564.500,250000288.000,250003848.000,148955,30832,256540
Port 1,0x0,HQoS Traffic-cpu6-flow0-hp - Flow Group 0001,10529851,10529823,0,11396,76,6096,100049,843529,2574124,2651823,2451200,1735715,146593,8289,869,64,0,0,0.000,175562.000,175560.500,250000288.000,249998152.000,149821,30997,255650
Port 1,0x0,HQoS Traffic-cpu5-flow0-hp - Flow Group 0001,10529851,10529825,0,11397,73,5720,99208,813633,2554388,2650578,2444077,1785390,155981,8553,788,39,0,0,0.000,175562.000,175561.000,250000288.000,249998864.000,150165,30970,261160
Port 1,0x0,HQoS Traffic-cpu4-flow0-hp - Flow Group 0001,10529851,10529828,0,11400,72,4293,100108,664728,2408504,2625996,2408539,2058967,233508,12390,1182,138,3,0,0.000,175562.000,175563.000,250000288.000,250001712.000,152311,31007,279265
Port 1,0x0,HQoS Traffic-cpu3-flow0-hp - Flow Group 0001,10529851,10529824,0,11398,71,6338,98625,859772,2582792,2648690,2458693,1709174,145095,8346,780,50,0,0,0.000,175561.500,175566.000,249999576.000,250005984.000,149664,31097,253715
Port 1,0x0,HQoS Traffic-cpu2-flow0-hp - Flow Group 0001,10529851,10529819,0,11401,88,5999,99713,854700,2583618,2651299,2454959,1713904,145019,8323,745,51,0,0,0.000,175561.500,175557.000,249999576.000,249993168.000,149694,30962,258422
Port 1,0x0,HQoS Traffic-cpu1-flow0-hp - Flow Group 0001,10529851,10529827,0,11396,84,6391,99825,847145,2576737,2651220,2451211,1727336,149307,8378,747,50,0,0,0.000,175561.500,175560.500,249999576.000,249998152.000,149794,31050,260845
Port 1,0x0,HQoS Traffic-cpu0-flow0-hp - Flow Group 0001,10529852,10529819,0,11402,77,6466,99665,867826,2583636,2648545,2457914,1700600,144462,8372,781,73,0,0,0.000,175562.000,175557.500,250000288.000,249993880.000,149606,30892,261155
