Rx Port,IPv4 :Raw priority,Flow Group,Tx Frames,Rx Frames,Rx Frames per Bin : 0us - 30us,Rx Frames per Bin : 30us - 48us,Rx Frames per Bin : 48us - 66us,Rx Frames per Bin : 66us - 84us,Rx Frames per Bin : 84us - 102us,Rx Frames per Bin : 102us - 120us,Rx Frames per Bin : 120us - 138us,Rx Frames per Bin : 138us - 156us,Rx Frames per Bin : 156us - 174us,Rx Frames per Bin : 174us - 192us,Rx Frames per Bin : 192us - 210us,Rx Frames per Bin : 210us - 228us,Rx Frames per Bin : 228us - 246us,Rx Frames per Bin : 246us - 264us,Rx Frames per Bin : 264us - 282us,Rx Frames per Bin : 282us - maxus,Loss %,Tx Frame Rate,Rx Frame Rate,Tx Rate (bps),Rx Rate (bps),Cut-Through Avg Latency (ns),Cut-Through Min Latency (ns),Cut-Through Max Latency (ns)
Port 1,0x1,HQoS Traffic-cpu7-flow0-lp - Flow Group 0001,21917622,14320459,0,17,13,13,12,13,12,13,13,12,12,13,11,13,12,14320280,34.662,365406.500,238748.500,4437496536.000,2899361784.000,121087818,32370,1206463450
Port 1,0x1,HQoS Traffic-cpu6-flow0-lp - Flow Group 0001,21917622,14320457,0,15,12,12,13,11,14,11,13,13,12,12,13,11,14,14320281,34.662,365406.500,238747.500,4437496536.000,2899349640.000,121439070,31887,1165370282
Port 1,0x1,HQoS Traffic-cpu5-flow0-lp - Flow Group 0001,21917623,14320458,0,16,13,13,13,12,13,11,13,11,13,13,13,12,13,14320279,34.662,365407.000,238747.500,4437502608.000,2899349640.000,122160533,32967,1122902572
Port 1,0x1,HQoS Traffic-cpu4-flow0-lp - Flow Group 0001,21917623,14320457,0,15,12,12,12,13,11,13,12,13,11,14,13,12,12,14320282,34.662,365407.000,238748.500,4437502608.000,2899361784.000,121848459,32045,1119680577
Port 1,0x1,HQoS Traffic-cpu3-flow0-lp - Flow Group 0001,21917623,14320456,0,11,10,12,13,12,12,13,12,12,13,12,13,12,13,14320286,34.662,365407.000,238748.500,4437502608.000,2899361784.000,121944350,31567,1344632632
Port 1,0x1,HQoS Traffic-cpu2-flow0-lp - Flow Group 0001,21917623,14320458,0,17,14,10,13,12,12,13,12,13,12,12,12,13,12,14320281,34.662,365407.000,238748.000,4437502608.000,2899355712.000,121545267,32290,1297895205
Port 1,0x1,HQoS Traffic-cpu1-flow0-lp - Flow Group 0001,21917623,14320457,0,15,10,12,12,13,12,13,12,12,13,12,13,12,14,14320282,34.662,365406.500,238748.500,4437496536.000,2899361784.000,121975829,32540,1133594667
Port 1,0x1,HQoS Traffic-cpu0-flow0-lp - Flow Group 0001,21917623,14320457,0,12,14,13,12,12,13,13,11,13,12,12,13,12,13,14320282,34.662,365406.500,238748.000,4437496536.000,2899355712.000,121382006,31455,1261033175
Port 1,0x0,HQoS Traffic-cpu7-flow0-hp - Flow Group 0001,10530448,10530420,0,11402,67,6507,100550,902012,2607871,2646364,2471857,1635937,138622,8366,804,61,0,0,0.000,175562.000,175562.500,250000288.000,250001000.000,149223,31010,256087
Port 1,0x0,HQoS Traffic-cpu6-flow0-hp - Flow Group 0001,10530448,10530423,0,11402,70,6809,100472,875958,2587732,2646940,2458642,1690581,142371,8557,841,48,0,0,0.000,175562.000,175566.000,250000288.000,250005984.000,149524,30875,255710
Port 1,0x0,HQoS Traffic-cpu5-flow0-hp - Flow Group 0001,10530448,10530425,0,11406,68,5879,98171,815490,2559174,2654300,2447687,1781143,148486,7763,800,58,0,0,0.000,175562.000,175566.500,250000288.000,250006696.000,150102,30972,257207
Port 1,0x0,HQoS Traffic-cpu4-flow0-hp - Flow Group 0001,10530448,10530425,0,11393,79,4083,99000,658220,2403188,2629165,2412441,2063645,235555,12371,1155,130,0,0,0.000,175561.500,175560.500,249999576.000,249998152.000,152381,30995,263970
Port 1,0x0,HQoS Traffic-cpu3-flow0-hp - Flow Group 0001,10530448,10530418,0,11402,65,6383,100152,857355,2580387,2651947,2454706,1713796,145294,8100,771,60,0,0,0.000,175561.500,175560.500,249999576.000,249998152.000,149677,30807,255905
Port 1,0x0,HQoS Traffic-cpu2-flow0-hp - Flow Group 0001,10530448,10530426,0,11401,73,6320,99218,859223,2583442,2648439,2457330,1707419,148021,8635,828,77,0,0,0.000,175561.500,175563.000,249999576.000,250001712.000,149686,31150,263990
Port 1,0x0,HQoS Traffic-cpu1-flow0-hp - Flow Group 0001,10530449,10530426,0,11396,78,6271,99712,823449,2560682,2647868,2444164,1773577,154015,8441,719,54,0,0,0.000,175562.000,175561.500,250000288.000,249999576.000,150069,31080,262500
Port 1,0x0,HQoS Traffic-cpu0-flow0-hp - Flow Group 0001,10530449,10530425,0,11400,70,6350,100453,883223,2599117,2646947,2463481,1671020,139101,8385,817,61,0,0,0.000,175562.000,175564.000,250000288.000,250003136.000,149404,30932,257390
