Rx Port,IPv4 :Raw priority,Flow Group,Tx Frames,Rx Frames,Rx Frames per Bin : 0us - 30us,Rx Frames per Bin : 30us - 34.66us,Rx Frames per Bin : 34.66us - 39.34us,Rx Frames per Bin : 39.34us - 44us,Rx Frames per Bin : 44us - 48.66us,Rx Frames per Bin : 48.66us - 53.34us,Rx Frames per Bin : 53.34us - 58us,Rx Frames per Bin : 58us - 62.66us,Rx Frames per Bin : 62.66us - 67.34us,Rx Frames per Bin : 67.34us - 72us,Rx Frames per Bin : 72us - 76.66us,Rx Frames per Bin : 76.66us - 81.34us,Rx Frames per Bin : 81.34us - 86us,Rx Frames per Bin : 86us - 90.66us,Rx Frames per Bin : 90.66us - 95.34us,Rx Frames per Bin : 95.34us - maxus,Loss %,Tx Frame Rate,Rx Frame Rate,Tx Rate (bps),Rx Rate (bps),Cut-Through Avg Latency (ns),Cut-Through Min Latency (ns),Cut-Through Max Latency (ns)
Port 1,0x3,HQoS Traffic-cpu0-flow0-lp3 - Flow Group 0001,62561748,48707088,0,0,11,42,20,27,16,9,12,15,23,29,14,13,14,48706843,22.146,1043039.000,812051.500,12666665616.000,9861553416.000,24051339,35670,86812025
Port 1,0x2,HQoS Traffic-cpu0-flow0-lp2 - Flow Group 0001,32927236,32927170,0,0,1019,9574,6826,2033,97,28,55,67,1856,102441,378067,524835,920539,30979733,0.000,548968.000,548967.000,6666667392.000,6666655248.000,121650,35040,225770
Port 1,0x1,HQoS Traffic-cpu0-flow0-lp1 - Flow Group 0001,32927236,32927170,0,0,1340,9711,6381,2001,115,44,52,69,6027,170745,427517,621069,1055071,30627028,0.000,548968.000,548966.500,6666667392.000,6666649176.000,120865,34727,228642
Port 1,0x0,HQoS Traffic-cpu0-flow0-hp - Flow Group 0001,9878171,9878156,0,1,1284,3064,1394,125,14,17,21,39,5874,122765,392570,821219,1035349,7494420,0.000,164690.500,164692.000,2000001432.000,2000019648.000,106713,32735,188027
