Rx Port,IPv4 :Raw priority,Flow Group,Tx Frames,Rx Frames,Rx Frames per Bin : 0us - 30us,Rx Frames per Bin : 30us - 1361.34us,Rx Frames per Bin : 1361.34us - 2692.66us,Rx Frames per Bin : 2692.66us - 4024us,Rx Frames per Bin : 4024us - 5355.34us,Rx Frames per Bin : 5355.34us - 6686.66us,Rx Frames per Bin : 6686.66us - 8018us,Rx Frames per Bin : 8018us - 9349.34us,Rx Frames per Bin : 9349.34us - 10680.66us,Rx Frames per Bin : 10680.66us - 12012us,Rx Frames per Bin : 12012us - 13343.34us,Rx Frames per Bin : 13343.34us - 14674.66us,Rx Frames per Bin : 14674.66us - 16006us,Rx Frames per Bin : 16006us - 17337.34us,Rx Frames per Bin : 17337.34us - 18668.66us,Rx Frames per Bin : 18668.66us - maxus,Loss %,Tx Frame Rate,Rx Frame Rate,Tx Rate (bps),Rx Rate (bps),Cut-Through Avg Latency (ns),Cut-Through Min Latency (ns),Cut-Through Max Latency (ns)
Port 1,0x3,HQoS Traffic-cpu0-flow0-lp3 - Flow Group 0001,78201755,33085105,0,809004,4108,9993,27560,66858,151125,290973,473417,739793,1082369,1381118,1681953,1999602,2213050,22154182,57.693,1303799.000,543712.000,15833335056.000,6602838528.000,22150023,35002,79326562
Port 1,0x2,HQoS Traffic-cpu0-flow0-lp2 - Flow Group 0001,48567407,34795245,0,535038,66836,107885,177805,289689,462202,710247,1017472,1378888,1780113,2122787,2399831,2622908,2713296,18410248,28.357,809727.500,578136.500,9833330760.000,7020889656.000,19424577,35387,68665770
Port 1,0x1,HQoS Traffic-cpu0-flow0-lp1 - Flow Group 0001,48567407,44915602,0,2061720,2297450,2418246,2645957,2914696,3190944,3439118,3599154,3633961,3544644,3270593,2868967,2406539,1920600,4703013,7.519,809727.500,747889.000,9833330760.000,9082364016.000,10838005,35452,46679627
Port 1,0x0,HQoS Traffic-cpu0-flow0-hp - Flow Group 0001,9878117,9877858,0,5449377,3237817,852698,233061,73860,21997,6397,1859,543,183,49,15,2,0,0,0.003,164690.500,164684.000,2000001432.000,1999922496.000,1440067,33177,16657297
