Rx Port,IPv4 :Raw priority,Flow Group,Tx Frames,Rx Frames,Rx Frames per Bin : 0us - 30us,Rx Frames per Bin : 30us - 68us,Rx Frames per Bin : 68us - 106us,Rx Frames per Bin : 106us - 144us,Rx Frames per Bin : 144us - 182us,Rx Frames per Bin : 182us - 220us,Rx Frames per Bin : 220us - 258us,Rx Frames per Bin : 258us - 296us,Rx Frames per Bin : 296us - 334us,Rx Frames per Bin : 334us - 372us,Rx Frames per Bin : 372us - 410us,Rx Frames per Bin : 410us - 448us,Rx Frames per Bin : 448us - 486us,Rx Frames per Bin : 486us - 524us,Rx Frames per Bin : 524us - 562us,Rx Frames per Bin : 562us - maxus,Loss %,Tx Frame Rate,Rx Frame Rate,Tx Rate (bps),Rx Rate (bps),Cut-Through Avg Latency (ns),Cut-Through Min Latency (ns),Cut-Through Max Latency (ns)
Port 1,0x1,HQoS Traffic-cpu3-flow0-lp1 - Flow Group 0001,43834448,28640389,0,52,52,52,52,53,52,52,52,53,54,51,54,51,52,28639657,34.662,730813.500,477496.000,8874999144.000,5798711424.000,102682337,32657,1069402537
Port 1,0x1,HQoS Traffic-cpu2-flow0-lp1 - Flow Group 0001,43834448,28640391,0,57,54,51,53,52,52,53,51,52,53,53,53,52,53,28639652,34.662,730813.500,477496.500,8874999144.000,5798717496.000,102576004,32552,1164506762
Port 1,0x1,HQoS Traffic-cpu1-flow0-lp1 - Flow Group 0001,43834449,28640390,0,55,52,52,52,53,52,52,53,51,53,52,53,52,53,28639655,34.662,730813.500,477497.500,8874999144.000,5798729640.000,102454700,32737,1181666090
Port 1,0x1,HQoS Traffic-cpu0-flow0-lp1 - Flow Group 0001,43834449,28640393,0,58,53,52,52,52,53,52,52,52,53,52,52,53,52,28639655,34.662,730813.500,477495.500,8874999144.000,5798705352.000,102723501,33335,1122111485
Port 1,0x0,HQoS Traffic-cpu3-flow0-hp - Flow Group 0001,21060514,21060437,0,14156,8930,284886,2200838,5730373,6535458,3506965,2136901,595795,46123,12,0,0,0,0,0.000,351124.000,351125.500,500000576.000,500002712.000,236335,31002,422212
Port 1,0x0,HQoS Traffic-cpu2-flow0-hp - Flow Group 0001,21060514,21060437,0,13840,8975,249538,2144040,5622759,6489853,3677365,2114775,686826,52432,34,0,0,0,0,0.000,351123.500,351123.000,499999864.000,499999152.000,237607,31210,423315
Port 1,0x0,HQoS Traffic-cpu1-flow0-hp - Flow Group 0001,21060514,21060435,0,13989,11318,230907,2099597,5538962,6450407,3802075,2101210,751222,60692,56,0,0,0,0,0.000,351123.500,351113.500,499999864.000,499985624.000,238552,30615,430790
Port 1,0x0,HQoS Traffic-cpu0-flow0-hp - Flow Group 0001,21060514,21060421,0,14029,8949,278256,2190795,5716745,6528044,3533100,2135143,608833,46513,14,0,0,0,0,0.000,351123.500,351130.500,499999864.000,500009832.000,236531,31072,438470
