Rx Port,IPv4 :Raw priority,Flow Group,Tx Frames,Rx Frames,Rx Frames per Bin : 0us - 30us,Rx Frames per Bin : 30us - 68us,Rx Frames per Bin : 68us - 106us,Rx Frames per Bin : 106us - 144us,Rx Frames per Bin : 144us - 182us,Rx Frames per Bin : 182us - 220us,Rx Frames per Bin : 220us - 258us,Rx Frames per Bin : 258us - 296us,Rx Frames per Bin : 296us - 334us,Rx Frames per Bin : 334us - 372us,Rx Frames per Bin : 372us - 410us,Rx Frames per Bin : 410us - 448us,Rx Frames per Bin : 448us - 486us,Rx Frames per Bin : 486us - 524us,Rx Frames per Bin : 524us - 562us,Rx Frames per Bin : 562us - maxus,Loss %,Tx Frame Rate,Rx Frame Rate,Tx Rate (bps),Rx Rate (bps),Cut-Through Avg Latency (ns),Cut-Through Min Latency (ns),Cut-Through Max Latency (ns)
Port 1,0x1,HQoS Traffic-cpu3-flow0-lp1 - Flow Group 0001,43834043,28640136,0,54,52,52,52,53,52,53,51,52,53,52,54,52,52,28639402,34.662,730813.500,477496.500,8874999144.000,5798717496.000,102793314,32750,1176590310
Port 1,0x1,HQoS Traffic-cpu2-flow0-lp1 - Flow Group 0001,43834043,28640140,0,57,51,52,53,52,52,53,52,52,53,53,51,52,53,28639404,34.662,730813.500,477497.500,8874999144.000,5798729640.000,102568030,33300,1398316870
Port 1,0x1,HQoS Traffic-cpu1-flow0-lp1 - Flow Group 0001,43834043,28640132,0,51,52,53,52,52,54,51,53,52,52,53,52,52,53,28639400,34.662,730813.500,477494.500,8874999144.000,5798693208.000,102491093,33482,1145845595
Port 1,0x1,HQoS Traffic-cpu0-flow0-lp1 - Flow Group 0001,43834043,28640135,0,54,51,53,53,51,53,52,53,52,52,53,52,52,52,28639402,34.662,730813.500,477496.500,8874999144.000,5798717496.000,102773950,33057,1205339592
Port 1,0x0,HQoS Traffic-cpu3-flow0-hp - Flow Group 0001,21060319,21060227,0,14092,8875,284173,2203979,5738022,6539327,3497273,2142802,586036,45641,7,0,0,0,0,0.000,351123.500,351123.500,499999864.000,499999864.000,236273,31335,413305
Port 1,0x0,HQoS Traffic-cpu2-flow0-hp - Flow Group 0001,21060319,21060204,0,13836,8844,254086,2154030,5644779,6500272,3645214,2118036,670194,50892,21,0,0,0,0,0.001,351123.500,351116.500,499999864.000,499989896.000,237376,30940,430192
Port 1,0x0,HQoS Traffic-cpu1-flow0-hp - Flow Group 0001,21060319,21060258,0,13933,10525,233147,2107465,5553736,6459120,3781802,2099650,742945,57893,41,1,0,0,0,0.000,351123.500,351140.000,499999864.000,500023360.000,238380,31087,449540
Port 1,0x0,HQoS Traffic-cpu0-flow0-hp - Flow Group 0001,21060319,21060237,0,14049,8740,282317,2194092,5721197,6531596,3521053,2140395,600070,46721,7,0,0,0,0,0.000,351123.500,351123.000,499999864.000,499999152.000,236452,31065,414167
