Rx Port,IPv4 :Raw priority,Flow Group,Tx Frames,Rx Frames,Rx Frames per Bin : 0us - 30us,Rx Frames per Bin : 30us - 68us,Rx Frames per Bin : 68us - 106us,Rx Frames per Bin : 106us - 144us,Rx Frames per Bin : 144us - 182us,Rx Frames per Bin : 182us - 220us,Rx Frames per Bin : 220us - 258us,Rx Frames per Bin : 258us - 296us,Rx Frames per Bin : 296us - 334us,Rx Frames per Bin : 334us - 372us,Rx Frames per Bin : 372us - 410us,Rx Frames per Bin : 410us - 448us,Rx Frames per Bin : 448us - 486us,Rx Frames per Bin : 486us - 524us,Rx Frames per Bin : 524us - 562us,Rx Frames per Bin : 562us - maxus,Loss %,Tx Frame Rate,Rx Frame Rate,Tx Rate (bps),Rx Rate (bps),Cut-Through Avg Latency (ns),Cut-Through Min Latency (ns),Cut-Through Max Latency (ns)
Port 1,0x1,HQoS Traffic-cpu3-flow0-lp1 - Flow Group 0001,42372636,27685279,0,51,52,53,52,52,53,53,52,52,53,52,52,53,52,27684547,34.662,730814.000,477496.500,8875005216.000,5798717496.000,102714768,35092,1155961457
Port 1,0x1,HQoS Traffic-cpu2-flow0-lp1 - Flow Group 0001,42372636,27685276,0,48,52,52,51,55,53,51,53,52,52,53,52,52,53,27684547,34.662,730813.500,477495.500,8874999144.000,5798705352.000,102664334,36567,1204154812
Port 1,0x1,HQoS Traffic-cpu1-flow0-lp1 - Flow Group 0001,42372636,27685282,0,50,51,53,53,52,52,53,51,53,53,53,51,53,51,27684553,34.662,730813.500,477497.500,8874999144.000,5798729640.000,102521894,35322,1214503445
Port 1,0x1,HQoS Traffic-cpu0-flow0-lp1 - Flow Group 0001,42372636,27685275,0,45,53,52,53,53,50,53,52,54,51,53,52,52,52,27684550,34.662,730813.500,477496.500,8874999144.000,5798717496.000,102578437,36145,1061767102
Port 1,0x0,HQoS Traffic-cpu3-flow0-hp - Flow Group 0001,20358177,20358096,0,14264,9403,282525,2136819,5558596,6321791,3359394,2071992,559568,43737,7,0,0,0,0,0.000,351123.500,351122.000,499999864.000,499997728.000,236100,31085,416335
Port 1,0x0,HQoS Traffic-cpu2-flow0-hp - Flow Group 0001,20358177,20358118,0,13732,8489,245122,2081393,5455182,6285311,3525540,2050465,643446,49411,26,1,0,0,0,0.000,351123.500,351132.500,499999864.000,500012680.000,237384,30787,454627
Port 1,0x0,HQoS Traffic-cpu1-flow0-hp - Flow Group 0001,20358178,20358073,0,13849,9804,229776,2043217,5381633,6250291,3632076,2037681,701953,57742,51,0,0,0,0,0.001,351123.500,351113.500,499999864.000,499985624.000,238236,30985,435715
Port 1,0x0,HQoS Traffic-cpu0-flow0-hp - Flow Group 0001,20358178,20358119,0,13887,8813,268403,2116496,5520545,6310556,3418579,2064403,589674,46747,16,0,0,0,0,0.000,351123.500,351122.000,499999864.000,499997728.000,236574,30985,436577
