Rx Port,IPv4 :Raw priority,Flow Group,Tx Frames,Rx Frames,Rx Frames per Bin : 0us - 30us,Rx Frames per Bin : 30us - 33.34us,Rx Frames per Bin : 33.34us - 36.66us,Rx Frames per Bin : 36.66us - 40us,Rx Frames per Bin : 40us - 43.34us,Rx Frames per Bin : 43.34us - 46.66us,Rx Frames per Bin : 46.66us - 50us,Rx Frames per Bin : 50us - 53.34us,Rx Frames per Bin : 53.34us - 56.66us,Rx Frames per Bin : 56.66us - 60us,Rx Frames per Bin : 60us - 63.34us,Rx Frames per Bin : 63.34us - 66.66us,Rx Frames per Bin : 66.66us - 70us,Rx Frames per Bin : 70us - 73.34us,Rx Frames per Bin : 73.34us - 76.66us,Rx Frames per Bin : 76.66us - maxus,Loss %,Tx Frame Rate,Rx Frame Rate,Tx Rate (bps),Rx Rate (bps),Cut-Through Avg Latency (ns),Cut-Through Min Latency (ns),Cut-Through Max Latency (ns)
Port 1,0x1,HQoS Traffic-cpu3-flow0-lp1 - Flow Group 0001,21480114,21480102,0,17816582,3661669,1801,7,9,4,5,8,3,4,5,3,2,0,0,0.000,370553.000,370553.500,4499995632.000,4500001704.000,32524,30642,72492
Port 1,0x1,HQoS Traffic-cpu2-flow0-lp1 - Flow Group 0001,21480115,21480102,0,17258745,4216945,4355,10,6,4,7,5,5,5,5,6,2,2,0,0.000,370553.500,370553.500,4500001704.000,4500001704.000,32611,30720,75292
Port 1,0x1,HQoS Traffic-cpu1-flow0-lp1 - Flow Group 0001,21480115,21480102,0,16706277,4768978,4789,11,9,4,9,9,7,4,4,1,0,0,0,0.000,370553.500,370553.500,4500001704.000,4500001704.000,32710,30605,68175
Port 1,0x1,HQoS Traffic-cpu0-flow0-lp1 - Flow Group 0001,21480115,21480102,0,17209186,4267215,3677,6,3,2,2,4,5,1,1,0,0,0,0,0.000,370553.500,370553.500,4500001704.000,4500001704.000,32669,30680,64265
Port 1,0x0,HQoS Traffic-cpu3-flow0-hp - Flow Group 0001,20353816,20353805,2,17486647,2848393,18722,7,4,5,5,5,4,5,2,3,1,0,0,0.000,351123.500,351124.000,499999864.000,500000576.000,32248,29972,71397
Port 1,0x0,HQoS Traffic-cpu2-flow0-hp - Flow Group 0001,20353816,20353805,0,17288140,3041537,24080,8,4,6,4,6,4,4,5,3,3,1,0,0.000,351123.500,351123.500,499999864.000,499999864.000,32308,30045,75397
Port 1,0x0,HQoS Traffic-cpu1-flow0-hp - Flow Group 0001,20353817,20353805,0,16977370,3334910,41474,14,6,5,5,9,7,3,1,1,0,0,0,0.000,351124.000,351124.000,500000576.000,500000576.000,32354,30045,67725
Port 1,0x0,HQoS Traffic-cpu0-flow0-hp - Flow Group 0001,20353817,20353805,0,17031168,3287536,35081,4,2,2,3,4,3,1,1,0,0,0,0,0.000,351123.500,351123.500,499999864.000,499999864.000,32353,30042,63895
