Rx Port,IPv4 :Raw priority,Flow Group,Tx Frames,Rx Frames,Rx Frames per Bin : 0us - 30us,Rx Frames per Bin : 30us - 33.34us,Rx Frames per Bin : 33.34us - 36.66us,Rx Frames per Bin : 36.66us - 40us,Rx Frames per Bin : 40us - 43.34us,Rx Frames per Bin : 43.34us - 46.66us,Rx Frames per Bin : 46.66us - 50us,Rx Frames per Bin : 50us - 53.34us,Rx Frames per Bin : 53.34us - 56.66us,Rx Frames per Bin : 56.66us - 60us,Rx Frames per Bin : 60us - 63.34us,Rx Frames per Bin : 63.34us - 66.66us,Rx Frames per Bin : 66.66us - 70us,Rx Frames per Bin : 70us - 73.34us,Rx Frames per Bin : 73.34us - 76.66us,Rx Frames per Bin : 76.66us - maxus,Loss %,Tx Frame Rate,Rx Frame Rate,Tx Rate (bps),Rx Rate (bps),Cut-Through Avg Latency (ns),Cut-Through Min Latency (ns),Cut-Through Max Latency (ns)
Port 1,0x1,HQoS Traffic-cpu3-flow0-lp1 - Flow Group 0001,22226107,22226095,0,17670831,4552644,2570,7,7,4,7,4,5,7,5,4,0,0,0,0.000,370553.500,370554.000,4500001704.000,4500007776.000,32623,30675,69105
Port 1,0x1,HQoS Traffic-cpu2-flow0-lp1 - Flow Group 0001,22226107,22226095,0,17669261,4551510,5299,5,4,1,2,4,2,3,3,1,0,0,0,0.000,370553.500,370554.000,4500001704.000,4500007776.000,32663,30715,67160
Port 1,0x1,HQoS Traffic-cpu1-flow0-lp1 - Flow Group 0001,22226107,22226094,0,17320425,4902112,3481,10,11,6,8,10,5,12,9,4,1,0,0,0.000,370553.000,370553.000,4499995632.000,4499995632.000,32656,30697,70430
Port 1,0x1,HQoS Traffic-cpu0-flow0-lp1 - Flow Group 0001,22226108,22226095,0,18194409,4029674,1976,5,5,4,2,6,5,2,5,2,0,0,0,0.000,370553.500,370553.500,4500001704.000,4500001704.000,32627,30702,68865
Port 1,0x0,HQoS Traffic-cpu3-flow0-hp - Flow Group 0001,21060693,21060681,1,17977626,3067742,15269,8,4,5,5,5,5,4,5,1,1,0,0,0.000,351123.500,351123.500,499999864.000,499999864.000,32290,30000,70212
Port 1,0x0,HQoS Traffic-cpu2-flow0-hp - Flow Group 0001,21060693,21060682,0,17635403,3394763,30494,3,3,2,3,2,3,3,2,1,0,0,0,0.000,351123.500,351123.500,499999864.000,499999864.000,32353,30090,66712
Port 1,0x0,HQoS Traffic-cpu1-flow0-hp - Flow Group 0001,21060694,21060682,0,17688593,3343284,28736,14,7,6,8,7,8,8,6,5,0,0,0,0.000,351124.000,351123.500,500000576.000,499999864.000,32329,30010,69775
Port 1,0x0,HQoS Traffic-cpu0-flow0-hp - Flow Group 0001,21060694,21060682,0,17564802,3451051,44801,3,4,4,4,2,5,3,2,1,0,0,0,0.000,351123.500,351123.500,499999864.000,499999864.000,32345,30047,67312
