Rx Port,IPv4 :Raw priority,Flow Group,Tx Frames,Rx Frames,Rx Frames per Bin : 0us - 30us,Rx Frames per Bin : 30us - 2028us,Rx Frames per Bin : 2028us - 4026us,Rx Frames per Bin : 4026us - 6024us,Rx Frames per Bin : 6024us - 8022us,Rx Frames per Bin : 8022us - 10020us,Rx Frames per Bin : 10020us - 12018us,Rx Frames per Bin : 12018us - 14016us,Rx Frames per Bin : 14016us - 16014us,Rx Frames per Bin : 16014us - 18012us,Rx Frames per Bin : 18012us - 20010us,Rx Frames per Bin : 20010us - 22008us,Rx Frames per Bin : 22008us - 24006us,Rx Frames per Bin : 24006us - 26004us,Rx Frames per Bin : 26004us - 28002us,Rx Frames per Bin : 28002us - maxus,Loss %,Tx Frame Rate,Rx Frame Rate,Tx Rate (bps),Rx Rate (bps),Cut-Through Avg Latency (ns),Cut-Through Min Latency (ns),Cut-Through Max Latency (ns)
Port 1,0x7,HQoS Traffic-cpu0-flow0-lp7 - Flow Group 0001,46379402,31306482,0,1936527,13657,16231,23615,36998,58593,93236,141558,205755,301677,415755,550155,710426,869048,25933251,32.499,799924.500,528382.500,9714283128.000,6416677080.000,41755866,32867,147602320
Port 1,0x6,HQoS Traffic-cpu0-flow0-lp6 - Flow Group 0001,12958951,12958195,0,4852312,3871411,1859612,1035973,590276,322619,184365,104804,58528,33299,19376,11134,6319,3518,4649,0.006,223508.500,223565.500,2714287224.000,2714979432.000,3671794,33822,54510545
Port 1,0x5,HQoS Traffic-cpu0-flow0-lp5 - Flow Group 0001,12958951,12958214,0,5032159,3983529,1824233,975922,533740,275637,151755,82916,44694,24132,13377,7454,4048,2142,2476,0.006,223508.500,223563.500,2714287224.000,2714955144.000,3464954,33777,49502405
Port 1,0x4,HQoS Traffic-cpu0-flow0-lp4 - Flow Group 0001,12958951,12958267,0,5346453,4171049,1698987,858837,437691,213279,111381,57874,29776,15533,8150,4254,2277,1234,1492,0.005,223508.500,223522.500,2714287224.000,2714457240.000,3173735,33825,47487115
Port 1,0x3,HQoS Traffic-cpu0-flow0-lp3 - Flow Group 0001,12958951,12958240,0,5307798,4214879,1739052,860620,425754,202858,102905,51175,25498,13130,6872,3729,1860,987,1123,0.005,223508.500,223541.000,2714287224.000,2714681904.000,3149851,33442,43325905
Port 1,0x2,HQoS Traffic-cpu0-flow0-lp2 - Flow Group 0001,12958951,12958373,0,5496510,4219435,1626378,812688,411803,196061,98988,49295,24075,11772,5813,2917,1401,667,570,0.004,223508.500,223602.000,2714287224.000,2715422688.000,3058863,33345,46478367
Port 1,0x1,HQoS Traffic-cpu0-flow0-lp1 - Flow Group 0001,12958951,12958341,0,5692350,4258988,1634012,741823,349286,150856,70935,32709,14638,6636,3150,1505,757,346,350,0.005,223508.500,223539.000,2714287224.000,2714657616.000,2886915,32675,37426035
Port 1,0x0,HQoS Traffic-cpu0-flow0-hp - Flow Group 0001,9548701,9548346,0,4987109,3458980,733542,255160,79633,22583,7724,2348,807,264,118,46,14,12,6,0.004,164690.500,164676.500,2000001432.000,1999831416.000,2204134,32762,29674215
