Rx Port,IPv4 :Raw priority,Flow Group,Tx Frames,Rx Frames,Rx Frames per Bin : 0us - 30us,Rx Frames per Bin : 30us - 34.66us,Rx Frames per Bin : 34.66us - 39.34us,Rx Frames per Bin : 39.34us - 44us,Rx Frames per Bin : 44us - 48.66us,Rx Frames per Bin : 48.66us - 53.34us,Rx Frames per Bin : 53.34us - 58us,Rx Frames per Bin : 58us - 62.66us,Rx Frames per Bin : 62.66us - 67.34us,Rx Frames per Bin : 67.34us - 72us,Rx Frames per Bin : 72us - 76.66us,Rx Frames per Bin : 76.66us - 81.34us,Rx Frames per Bin : 81.34us - 86us,Rx Frames per Bin : 86us - 90.66us,Rx Frames per Bin : 90.66us - 95.34us,Rx Frames per Bin : 95.34us - maxus,Loss %,Tx Frame Rate,Rx Frame Rate,Tx Rate (bps),Rx Rate (bps),Cut-Through Avg Latency (ns),Cut-Through Min Latency (ns),Cut-Through Max Latency (ns)
Port 1,0x1,HQoS Traffic-cpu1-flow0-lp - Flow Group 0001,54906546,54906511,0,11510316,43324463,71703,29,0,0,0,0,0,0,0,0,0,0,0,0.000,946969.500,946969.000,11499997608.000,11499991536.000,35549,32220,45040
Port 1,0x1,HQoS Traffic-cpu0-flow0-lp - Flow Group 0001,54906547,54906512,0,17074656,37790757,40463,315,299,14,6,2,0,0,0,0,0,0,0,0.000,946970.000,946969.500,11500003680.000,11499997608.000,35258,31830,64447
Port 1,0x0,HQoS Traffic-cpu1-flow0-hp - Flow Group 0001,40717214,40717188,0,18249565,22415513,52109,1,0,0,0,0,0,0,0,0,0,0,0,0.000,702247.500,702246.500,1000000440.000,999999016.000,34905,31292,44057
Port 1,0x0,HQoS Traffic-cpu0-flow0-hp - Flow Group 0001,40717214,40717188,0,22419678,18286696,10800,3,3,4,3,1,0,0,0,0,0,0,0,0.000,702247.000,702246.500,999999728.000,999999016.000,34599,31025,62892
