Rx Port,IPv4 :Raw priority,Flow Group,Tx Frames,Rx Frames,Rx Frames per Bin : 0us - 30us,Rx Frames per Bin : 30us - 3361.34us,Rx Frames per Bin : 3361.34us - 6692.66us,Rx Frames per Bin : 6692.66us - 10024us,Rx Frames per Bin : 10024us - 13355.34us,Rx Frames per Bin : 13355.34us - 16686.66us,Rx Frames per Bin : 16686.66us - 20018us,Rx Frames per Bin : 20018us - 23349.34us,Rx Frames per Bin : 23349.34us - 26680.66us,Rx Frames per Bin : 26680.66us - 30012us,Rx Frames per Bin : 30012us - 33343.34us,Rx Frames per Bin : 33343.34us - 36674.66us,Rx Frames per Bin : 36674.66us - 40006us,Rx Frames per Bin : 40006us - 43337.34us,Rx Frames per Bin : 43337.34us - 46668.66us,Rx Frames per Bin : 46668.66us - maxus,Loss %,Tx Frame Rate,Rx Frame Rate,Tx Rate (bps),Rx Rate (bps),Cut-Through Avg Latency (ns),Cut-Through Min Latency (ns),Cut-Through Max Latency (ns)
Port 1,0x7,HQoS Traffic-cpu0-flow0-lp7 - Flow Group 0001,56506881,17159118,0,568276,2172,2314,2168,2171,2881,5204,9112,16121,28802,46878,72273,108219,155176,16137351,69.634,911679.000,272084.500,11071429776.000,3304194168.000,89813904,38012,270289927
Port 1,0x6,HQoS Traffic-cpu0-flow0-lp6 - Flow Group 0001,20779950,15596637,0,219598,14243,17188,21353,26953,34965,45694,58840,74951,95118,121852,153719,192031,235841,14284291,24.944,335263.000,250850.500,4071433872.000,3046328472.000,88496072,40380,289052010
Port 1,0x5,HQoS Traffic-cpu0-flow0-lp5 - Flow Group 0001,20779950,14638807,0,216082,8710,9293,11012,13304,17309,22556,29930,40176,53443,71045,92491,117876,149775,13785805,29.553,335262.500,235179.000,4071427800.000,2856013776.000,96714841,40202,306316467
Port 1,0x4,HQoS Traffic-cpu0-flow0-lp4 - Flow Group 0001,20779950,14342838,0,215135,7140,7035,7684,9096,12201,15833,21065,29244,39892,53226,70847,93301,120296,13640843,30.978,335262.500,229873.000,4071427800.000,2791577712.000,99630832,38022,316961975
Port 1,0x3,HQoS Traffic-cpu0-flow0-lp3 - Flow Group 0001,20779950,15458968,0,222693,17627,19758,23559,29096,36486,46160,58736,74617,93572,116826,144410,176535,214786,14184107,25.606,335262.500,248829.000,4071427800.000,3021779376.000,89774948,38260,267308370
Port 1,0x2,HQoS Traffic-cpu0-flow0-lp2 - Flow Group 0001,20779950,18564616,0,465457,313149,326177,347480,373030,399097,426871,456871,494711,532197,568841,606306,644000,680955,11929474,10.661,335262.500,297691.000,4071427800.000,3615159504.000,59087618,38495,248028282
Port 1,0x1,HQoS Traffic-cpu0-flow0-lp1 - Flow Group 0001,20779950,20776426,0,6809947,5072316,3130534,1987352,1288137,844373,556176,367470,243118,159820,104954,69666,46745,31495,64323,0.017,335262.500,335196.500,4071427800.000,4070626296.000,7984588,38650,115609320
Port 1,0x0,HQoS Traffic-cpu0-flow0-hp - Flow Group 0001,10207695,10207130,0,5901622,2897381,959326,302656,97139,32399,10946,3749,1318,384,121,50,23,6,10,0.006,164690.500,164735.000,2000001432.000,2000541840.000,3633258,33735,54900890
