Rx Port,IPv4 :Raw priority,Flow Group,Tx Frames,Rx Frames,Rx Frames per Bin : 0us - 30us,Rx Frames per Bin : 30us - 2028us,Rx Frames per Bin : 2028us - 4026us,Rx Frames per Bin : 4026us - 6024us,Rx Frames per Bin : 6024us - 8022us,Rx Frames per Bin : 8022us - 10020us,Rx Frames per Bin : 10020us - 12018us,Rx Frames per Bin : 12018us - 14016us,Rx Frames per Bin : 14016us - 16014us,Rx Frames per Bin : 16014us - 18012us,Rx Frames per Bin : 18012us - 20010us,Rx Frames per Bin : 20010us - 22008us,Rx Frames per Bin : 22008us - 24006us,Rx Frames per Bin : 24006us - 26004us,Rx Frames per Bin : 26004us - 28002us,Rx Frames per Bin : 28002us - maxus,Loss %,Tx Frame Rate,Rx Frame Rate,Tx Rate (bps),Rx Rate (bps),Cut-Through Avg Latency (ns),Cut-Through Min Latency (ns),Cut-Through Max Latency (ns)
Port 1,0x7,HQoS Traffic-cpu0-flow0-lp7 - Flow Group 0001,46379626,31307053,0,2233867,588059,831679,1134306,1546686,1800993,2116079,2335776,2319485,2388180,2227738,2036147,1856029,1572679,6319350,32.498,799925.000,528696.000,9714289200.000,6420484224.000,19214512,32815,103872657
Port 1,0x6,HQoS Traffic-cpu0-flow0-lp6 - Flow Group 0001,12959013,12958123,0,4858643,3866315,1856007,1035587,592099,322437,185308,104810,59183,33299,18837,10799,6016,3404,5379,0.007,223508.500,223483.000,2714287224.000,2713977552.000,3671918,33707,56785885
Port 1,0x5,HQoS Traffic-cpu0-flow0-lp5 - Flow Group 0001,12959013,12958255,0,5031813,3975268,1821201,978200,536358,279293,154121,83843,44761,23832,13141,7460,4026,2242,2696,0.006,223508.500,223538.000,2714287224.000,2714645472.000,3471053,33787,44801262
Port 1,0x4,HQoS Traffic-cpu0-flow0-lp4 - Flow Group 0001,12959013,12958284,0,5335534,4161968,1704895,864668,442257,216208,112232,57811,30026,15371,8137,4272,2291,1225,1389,0.006,223508.000,223506.000,2714281152.000,2714256864.000,3182456,33995,43068875
Port 1,0x3,HQoS Traffic-cpu0-flow0-lp3 - Flow Group 0001,12959013,12958282,0,5318032,4218589,1733084,857055,424281,202710,102976,50887,25113,12576,6443,3155,1688,858,835,0.006,223508.000,223491.500,2714281152.000,2714080776.000,3141280,33750,43665710
Port 1,0x2,HQoS Traffic-cpu0-flow0-lp2 - Flow Group 0001,12959014,12958296,0,5510131,4220348,1617316,808660,408678,195265,99603,49602,24116,11981,6176,3174,1556,853,837,0.006,223508.500,223506.500,2714287224.000,2714262936.000,3054892,33095,40277755
Port 1,0x1,HQoS Traffic-cpu0-flow0-lp1 - Flow Group 0001,12959014,12958351,0,5699802,4259024,1633405,739140,347686,150056,70037,32419,14517,6702,3064,1329,619,299,252,0.005,223508.500,223510.000,2714287224.000,2714305440.000,2881002,32655,40393657
Port 1,0x0,HQoS Traffic-cpu0-flow0-hp - Flow Group 0001,9548747,9548375,0,4963942,3459926,747218,261204,81154,23264,8052,2523,758,231,68,26,8,1,0,0.004,164690.500,164685.500,2000001432.000,1999940712.000,2216306,32855,26239247
