Rx Port,IPv4 :Raw priority,Flow Group,Tx Frames,Rx Frames,Rx Frames per Bin : 0us - 30us,Rx Frames per Bin : 30us - 34.66us,Rx Frames per Bin : 34.66us - 39.34us,Rx Frames per Bin : 39.34us - 44us,Rx Frames per Bin : 44us - 48.66us,Rx Frames per Bin : 48.66us - 53.34us,Rx Frames per Bin : 53.34us - 58us,Rx Frames per Bin : 58us - 62.66us,Rx Frames per Bin : 62.66us - 67.34us,Rx Frames per Bin : 67.34us - 72us,Rx Frames per Bin : 72us - 76.66us,Rx Frames per Bin : 76.66us - 81.34us,Rx Frames per Bin : 81.34us - 86us,Rx Frames per Bin : 86us - 90.66us,Rx Frames per Bin : 90.66us - 95.34us,Rx Frames per Bin : 95.34us - maxus,Loss %,Tx Frame Rate,Rx Frame Rate,Tx Rate (bps),Rx Rate (bps),Cut-Through Avg Latency (ns),Cut-Through Min Latency (ns),Cut-Through Max Latency (ns)
Port 1,0x3,HQoS Traffic-cpu0-flow0-lp3 - Flow Group 0001,62558425,46943570,0,32540,2210120,255919,3293,86,75,46,61,98,151,186,190,168,176,44440461,24.960,1043039.500,771837.500,12666671688.000,9373194600.000,13903481,32980,47370532
Port 1,0x2,HQoS Traffic-cpu0-flow0-lp2 - Flow Group 0001,32925486,32922690,0,3079,1142990,170062,616,53,39,40,75,2084,13820,25201,26158,25292,24221,31488960,0.008,548967.500,548888.000,6666661320.000,6665695872.000,2679145,33645,38241132
Port 1,0x1,HQoS Traffic-cpu0-flow0-lp1 - Flow Group 0001,32925487,32924714,0,15202,1177266,123909,381,56,39,40,77,3313,24693,49370,55204,55948,56332,31362884,0.002,548968.000,549005.000,6666667392.000,6667116720.000,1483151,32970,22221517
Port 1,0x0,HQoS Traffic-cpu0-flow0-hp - Flow Group 0001,9877646,9877448,0,10527,355126,29336,43,16,7,5,52,2609,8930,12530,14578,14867,14501,9414321,0.002,164690.000,164681.000,1999995360.000,1999886064.000,1046635,33032,11589982
