Rx Port,IPv4 :Raw priority,Flow Group,Tx Frames,Rx Frames,Rx Frames per Bin : 0us - 30us,Rx Frames per Bin : 30us - 33.34us,Rx Frames per Bin : 33.34us - 36.66us,Rx Frames per Bin : 36.66us - 40us,Rx Frames per Bin : 40us - 43.34us,Rx Frames per Bin : 43.34us - 46.66us,Rx Frames per Bin : 46.66us - 50us,Rx Frames per Bin : 50us - 53.34us,Rx Frames per Bin : 53.34us - 56.66us,Rx Frames per Bin : 56.66us - 60us,Rx Frames per Bin : 60us - 63.34us,Rx Frames per Bin : 63.34us - 66.66us,Rx Frames per Bin : 66.66us - 70us,Rx Frames per Bin : 70us - 73.34us,Rx Frames per Bin : 73.34us - 76.66us,Rx Frames per Bin : 76.66us - maxus,Loss %,Tx Frame Rate,Rx Frame Rate,Tx Rate (bps),Rx Rate (bps),Cut-Through Avg Latency (ns),Cut-Through Min Latency (ns),Cut-Through Max Latency (ns)
Port 1,0x1,HQoS Traffic-cpu7-flow0-lp - Flow Group 0001,14200137,14200129,0,9318845,4326400,554872,12,0,0,0,0,0,0,0,0,0,0,0,0.000,236742.500,236743.000,2875000920.000,2875006992.000,33075,30697,40172
Port 1,0x1,HQoS Traffic-cpu6-flow0-lp - Flow Group 0001,14200137,14200129,0,9186235,4419017,594866,11,0,0,0,0,0,0,0,0,0,0,0,0.000,236742.500,236743.000,2875000920.000,2875006992.000,33133,30737,41445
Port 1,0x1,HQoS Traffic-cpu5-flow0-lp - Flow Group 0001,14200137,14200128,0,9249220,4476197,474699,12,0,0,0,0,0,0,0,0,0,0,0,0.000,236742.500,236742.000,2875000920.000,2874994848.000,33129,30745,40460
Port 1,0x1,HQoS Traffic-cpu4-flow0-lp - Flow Group 0001,14200137,14200129,0,9028189,4638265,533663,12,0,0,0,0,0,0,0,0,0,0,0,0.000,236742.500,236742.500,2875000920.000,2875000920.000,33143,30727,40697
Port 1,0x1,HQoS Traffic-cpu3-flow0-lp - Flow Group 0001,14200137,14200129,0,9137567,4528915,533638,3,1,1,0,1,1,1,1,0,0,0,0,0.000,236742.500,236742.500,2875000920.000,2875000920.000,33107,30657,65767
Port 1,0x1,HQoS Traffic-cpu2-flow0-lp - Flow Group 0001,14200137,14200129,0,8874379,4683177,642568,5,0,0,0,0,0,0,0,0,0,0,0,0.000,236742.500,236742.500,2875000920.000,2875000920.000,33199,30750,40397
Port 1,0x1,HQoS Traffic-cpu1-flow0-lp - Flow Group 0001,14200137,14200129,0,8686402,4877353,636330,44,0,0,0,0,0,0,0,0,0,0,0,0.000,236742.500,236742.500,2875000920.000,2875000920.000,33246,30662,40717
Port 1,0x1,HQoS Traffic-cpu0-flow0-lp - Flow Group 0001,14200137,14200128,0,9227331,4396977,575807,7,1,1,0,1,1,1,1,0,0,0,0,0.000,236742.000,236742.000,2874994848.000,2874994848.000,33139,30675,64550
Port 1,0x0,HQoS Traffic-cpu7-flow0-hp - Flow Group 0001,10530438,10530432,0,5949954,4299996,280478,4,0,0,0,0,0,0,0,0,0,0,0,0.000,175561.500,175562.000,249999576.000,250000288.000,33268,30115,40312
Port 1,0x0,HQoS Traffic-cpu6-flow0-hp - Flow Group 0001,10530438,10530432,0,5773312,4492690,264430,0,0,0,0,0,0,0,0,0,0,0,0,0.000,175561.500,175561.500,249999576.000,249999576.000,33276,30037,40000
Port 1,0x0,HQoS Traffic-cpu5-flow0-hp - Flow Group 0001,10530438,10530432,0,5943877,4359479,227075,1,0,0,0,0,0,0,0,0,0,0,0,0.000,175561.500,175561.500,249999576.000,249999576.000,33255,30025,40145
Port 1,0x0,HQoS Traffic-cpu4-flow0-hp - Flow Group 0001,10530439,10530433,0,5972456,4279238,278736,3,0,0,0,0,0,0,0,0,0,0,0,0.000,175562.000,175562.000,250000288.000,250000288.000,33238,30087,40155
Port 1,0x0,HQoS Traffic-cpu3-flow0-hp - Flow Group 0001,10530439,10530432,0,5772247,4477134,281043,4,1,0,1,1,0,1,0,0,0,0,0,0.000,175562.000,175561.500,250000288.000,249999576.000,33313,30015,61975
Port 1,0x0,HQoS Traffic-cpu2-flow0-hp - Flow Group 0001,10530439,10530433,0,5730501,4476963,322968,1,0,0,0,0,0,0,0,0,0,0,0,0.000,175562.000,175562.000,250000288.000,250000288.000,33334,30137,40142
Port 1,0x0,HQoS Traffic-cpu1-flow0-hp - Flow Group 0001,10530439,10530433,0,5797684,4394048,338694,7,0,0,0,0,0,0,0,0,0,0,0,0.000,175562.000,175562.000,250000288.000,250000288.000,33345,30080,40592
Port 1,0x0,HQoS Traffic-cpu0-flow0-hp - Flow Group 0001,10530439,10530432,1,5859695,4373425,297302,4,1,1,0,1,0,1,1,0,0,0,0,0.000,175562.000,175561.500,250000288.000,249999576.000,33316,29992,66055
