Rx Port,IPv4 :Raw priority,Flow Group,Tx Frames,Rx Frames,Rx Frames per Bin : 0us - 30us,Rx Frames per Bin : 30us - 33.34us,Rx Frames per Bin : 33.34us - 36.66us,Rx Frames per Bin : 36.66us - 40us,Rx Frames per Bin : 40us - 43.34us,Rx Frames per Bin : 43.34us - 46.66us,Rx Frames per Bin : 46.66us - 50us,Rx Frames per Bin : 50us - 53.34us,Rx Frames per Bin : 53.34us - 56.66us,Rx Frames per Bin : 56.66us - 60us,Rx Frames per Bin : 60us - 63.34us,Rx Frames per Bin : 63.34us - 66.66us,Rx Frames per Bin : 66.66us - 70us,Rx Frames per Bin : 70us - 73.34us,Rx Frames per Bin : 73.34us - 76.66us,Rx Frames per Bin : 76.66us - maxus,Loss %,Tx Frame Rate,Rx Frame Rate,Tx Rate (bps),Rx Rate (bps),Cut-Through Avg Latency (ns),Cut-Through Min Latency (ns),Cut-Through Max Latency (ns)
Port 1,0x1,HQoS Traffic-cpu7-flow0-lp - Flow Group 0001,11113257,11113251,0,7031215,3833206,248785,42,0,2,0,1,0,0,0,0,0,0,0,0.000,185276.500,185276.500,2249997816.000,2249997816.000,33118,30675,53615
Port 1,0x1,HQoS Traffic-cpu6-flow0-lp - Flow Group 0001,11113258,11113251,0,7003941,3858854,250410,40,2,1,2,1,0,0,0,0,0,0,0,0.000,185277.000,185276.500,2250003888.000,2249997816.000,33092,30675,55262
Port 1,0x1,HQoS Traffic-cpu5-flow0-lp - Flow Group 0001,11113258,11113251,0,7015562,3881007,216618,60,0,2,2,0,0,0,0,0,0,0,0,0.000,185277.000,185276.500,2250003888.000,2249997816.000,33089,30660,53030
Port 1,0x1,HQoS Traffic-cpu4-flow0-lp - Flow Group 0001,11113258,11113251,0,7006998,3914701,191513,32,3,4,0,0,0,0,0,0,0,0,0,0.000,185277.000,185276.500,2250003888.000,2249997816.000,33099,30682,49240
Port 1,0x1,HQoS Traffic-cpu3-flow0-lp - Flow Group 0001,11113258,11113252,0,7108694,3835557,168964,37,0,0,0,0,0,0,0,0,0,0,0,0.000,185276.500,185277.000,2249997816.000,2250003888.000,33082,30727,41325
Port 1,0x1,HQoS Traffic-cpu2-flow0-lp - Flow Group 0001,11113258,11113252,0,7074599,3791442,247143,61,3,1,2,1,0,0,0,0,0,0,0,0.000,185276.500,185277.000,2249997816.000,2250003888.000,33111,30702,55497
Port 1,0x1,HQoS Traffic-cpu1-flow0-lp - Flow Group 0001,11113258,11113252,0,7131478,3802254,179495,23,0,1,1,0,0,0,0,0,0,0,0,0.000,185276.500,185277.000,2249997816.000,2250003888.000,33125,30697,52052
Port 1,0x1,HQoS Traffic-cpu0-flow0-lp - Flow Group 0001,11113258,11113252,0,7185454,3729820,197967,11,0,0,0,0,0,0,0,0,0,0,0,0.000,185276.500,185277.000,2249997816.000,2250003888.000,33113,30652,40445
Port 1,0x0,HQoS Traffic-cpu7-flow0-hp - Flow Group 0001,10530540,10530533,0,5856740,4531031,142757,2,1,1,1,0,0,0,0,0,0,0,0,0.000,175562.000,175561.500,250000288.000,249999576.000,33152,30085,51477
Port 1,0x0,HQoS Traffic-cpu6-flow0-hp - Flow Group 0001,10530540,10530534,1,5876477,4507138,146909,4,2,2,0,1,0,0,0,0,0,0,0,0.000,175562.000,175562.000,250000288.000,250000288.000,33139,29997,55545
Port 1,0x0,HQoS Traffic-cpu5-flow0-hp - Flow Group 0001,10530540,10530534,0,5855912,4526036,148575,6,1,1,1,2,0,0,0,0,0,0,0,0.000,175562.000,175562.000,250000288.000,250000288.000,33157,30045,55945
Port 1,0x0,HQoS Traffic-cpu4-flow0-hp - Flow Group 0001,10530540,10530533,0,5768539,4604810,157170,9,2,3,0,0,0,0,0,0,0,0,0,0.000,175562.000,175561.500,250000288.000,249999576.000,33200,30102,49565
Port 1,0x0,HQoS Traffic-cpu3-flow0-hp - Flow Group 0001,10530540,10530534,0,5785180,4622658,122691,5,0,0,0,0,0,0,0,0,0,0,0,0.000,175561.500,175562.000,249999576.000,250000288.000,33137,30080,40150
Port 1,0x0,HQoS Traffic-cpu2-flow0-hp - Flow Group 0001,10530540,10530535,0,5678181,4682135,170208,5,1,3,0,1,1,0,0,0,0,0,0,0.000,175561.500,175562.500,249999576.000,250001000.000,33215,30107,59875
Port 1,0x0,HQoS Traffic-cpu1-flow0-hp - Flow Group 0001,10530540,10530534,0,5838759,4573029,118741,3,1,0,1,0,0,0,0,0,0,0,0,0.000,175561.500,175561.500,249999576.000,249999576.000,33180,30045,50855
Port 1,0x0,HQoS Traffic-cpu0-flow0-hp - Flow Group 0001,10530541,10530535,0,5783362,4611415,135757,1,0,0,0,0,0,0,0,0,0,0,0,0.000,175562.000,175562.000,250000288.000,250000288.000,33204,30050,40015
