Rx Port,IPv4 :Raw priority,Flow Group,Tx Frames,Rx Frames,Rx Frames per Bin : 0us - 30us,Rx Frames per Bin : 30us - 1028us,Rx Frames per Bin : 1028us - 2026us,Rx Frames per Bin : 2026us - 3024us,Rx Frames per Bin : 3024us - 4022us,Rx Frames per Bin : 4022us - 5020us,Rx Frames per Bin : 5020us - 6018us,Rx Frames per Bin : 6018us - 7016us,Rx Frames per Bin : 7016us - 8014us,Rx Frames per Bin : 8014us - 9012us,Rx Frames per Bin : 9012us - 10010us,Rx Frames per Bin : 10010us - 11008us,Rx Frames per Bin : 11008us - 12006us,Rx Frames per Bin : 12006us - 13004us,Rx Frames per Bin : 13004us - 14002us,Rx Frames per Bin : 14002us - maxus,Loss %,Tx Frame Rate,Rx Frame Rate,Tx Rate (bps),Rx Rate (bps),Cut-Through Avg Latency (ns),Cut-Through Min Latency (ns),Cut-Through Max Latency (ns)
Port 1,0x7,HQoS Traffic-cpu0-flow0-lp7 - Flow Group 0001,25049128,2019221,0,779,783,786,786,784,788,787,785,784,786,788,782,786,787,2008230,91.939,417608.000,34798.000,5071431552.000,422586912.000,762256101,41882,2022088127
Port 1,0x6,HQoS Traffic-cpu0-flow0-lp6 - Flow Group 0001,25049128,18900996,0,778,784,787,784,788,785,786,787,784,785,786,788,784,787,18890003,24.544,417608.000,315086.000,5071431552.000,3826404384.000,112714702,41510,225991240
Port 1,0x5,HQoS Traffic-cpu0-flow0-lp5 - Flow Group 0001,25049128,18900996,0,778,784,787,784,789,784,785,786,785,785,787,788,784,786,18890004,24.544,417608.000,315086.000,5071431552.000,3826404384.000,109677058,40985,246388620
Port 1,0x4,HQoS Traffic-cpu0-flow0-lp4 - Flow Group 0001,25049128,18900997,0,778,785,785,787,786,785,784,787,786,785,786,787,784,788,18890004,24.544,417608.000,315086.500,5071431552.000,3826410456.000,107764610,41025,250621010
Port 1,0x3,HQoS Traffic-cpu0-flow0-lp3 - Flow Group 0001,25049128,18900997,0,778,784,787,784,789,784,787,784,786,786,785,788,785,786,18890004,24.544,417607.500,315086.500,5071425480.000,3826410456.000,106176078,40797,267729850
Port 1,0x2,HQoS Traffic-cpu0-flow0-lp2 - Flow Group 0001,25049128,18900996,0,775,786,784,788,785,786,784,788,785,784,789,784,787,785,18890006,24.544,417607.500,315086.500,5071425480.000,3826410456.000,104861565,40640,280884247
Port 1,0x1,HQoS Traffic-cpu0-flow0-lp1 - Flow Group 0001,25049128,18900997,0,777,785,787,784,788,784,785,787,785,785,787,788,785,783,18890007,24.544,417607.500,315086.500,5071425480.000,3826410456.000,102775982,38655,284999450
Port 1,0x0,HQoS Traffic-cpu0-flow0-hp - Flow Group 0001,9878530,9018830,0,10508,509,247,426,251,289,414,313,355,273,375,7422223,1569020,3577,10050,8.703,164690.500,149360.500,2000001432.000,1813833912.000,11770426,34207,17025182
