Rx Port,IPv4 :Raw priority,Flow Group,Tx Frames,Rx Frames,Rx Frames per Bin : 0us - 30us,Rx Frames per Bin : 30us - 34.66us,Rx Frames per Bin : 34.66us - 39.34us,Rx Frames per Bin : 39.34us - 44us,Rx Frames per Bin : 44us - 48.66us,Rx Frames per Bin : 48.66us - 53.34us,Rx Frames per Bin : 53.34us - 58us,Rx Frames per Bin : 58us - 62.66us,Rx Frames per Bin : 62.66us - 67.34us,Rx Frames per Bin : 67.34us - 72us,Rx Frames per Bin : 72us - 76.66us,Rx Frames per Bin : 76.66us - 81.34us,Rx Frames per Bin : 81.34us - 86us,Rx Frames per Bin : 86us - 90.66us,Rx Frames per Bin : 90.66us - 95.34us,Rx Frames per Bin : 95.34us - maxus,Loss %,Tx Frame Rate,Rx Frame Rate,Tx Rate (bps),Rx Rate (bps),Cut-Through Avg Latency (ns),Cut-Through Min Latency (ns),Cut-Through Max Latency (ns)
Port 1,0x7,HQoS Traffic-cpu0-flow0-lp7 - Flow Group 0001,47979307,34124712,0,0,11,29,34,16,10,16,3,5,8,8,8,15,16,34124533,28.876,799924.500,568931.000,9714283128.000,6909098064.000,35179055,36225,92919550
Port 1,0x6,HQoS Traffic-cpu0-flow0-lp6 - Flow Group 0001,13405983,13405956,0,0,11,457,2903,2924,1405,227,31,21,22,255,21277,154999,382296,12839128,0.000,223508.500,223509.000,2714287224.000,2714293296.000,122812,38455,278080
Port 1,0x5,HQoS Traffic-cpu0-flow0-lp5 - Flow Group 0001,13405983,13405956,0,0,10,650,3033,2784,1248,203,42,15,16,432,35949,223771,443067,12694736,0.000,223508.500,223509.000,2714287224.000,2714293296.000,120394,38047,231475
Port 1,0x4,HQoS Traffic-cpu0-flow0-lp4 - Flow Group 0001,13405983,13405956,0,0,11,651,3079,2720,1276,195,35,22,23,624,47879,262829,459104,12627508,0.000,223508.500,223509.000,2714287224.000,2714293296.000,120094,34902,228835
Port 1,0x3,HQoS Traffic-cpu0-flow0-lp3 - Flow Group 0001,13405983,13405956,0,0,11,832,3044,2717,1128,208,34,20,19,1495,63856,285420,468932,12578240,0.000,223508.500,223509.000,2714287224.000,2714293296.000,119976,35147,228877
Port 1,0x2,HQoS Traffic-cpu0-flow0-lp2 - Flow Group 0001,13405983,13405957,0,0,27,1027,3041,2531,1110,191,48,16,23,2172,83344,316309,480160,12515958,0.000,223508.000,223509.000,2714281152.000,2714293296.000,119651,35492,230092
Port 1,0x1,HQoS Traffic-cpu0-flow0-lp1 - Flow Group 0001,13405983,13405957,0,1,47,1238,2988,2517,912,228,40,26,39,5972,120543,359305,506717,12405384,0.000,223508.000,223508.500,2714281152.000,2714287224.000,118979,32835,229230
Port 1,0x0,HQoS Traffic-cpu0-flow0-hp - Flow Group 0001,9878093,9878076,0,1,29,1139,2539,1721,380,59,16,15,909,41856,193725,346628,532830,8756229,0.000,164690.500,164691.500,2000001432.000,2000013576.000,113277,32317,203010
