Rx Port,IPv4 :Raw priority,Flow Group,Tx Frames,Rx Frames,Rx Frames per Bin : 0us - 30us,Rx Frames per Bin : 30us - 128us,Rx Frames per Bin : 128us - 226us,Rx Frames per Bin : 226us - 324us,Rx Frames per Bin : 324us - 422us,Rx Frames per Bin : 422us - 520us,Rx Frames per Bin : 520us - 618us,Rx Frames per Bin : 618us - 716us,Rx Frames per Bin : 716us - 814us,Rx Frames per Bin : 814us - 912us,Rx Frames per Bin : 912us - 1010us,Rx Frames per Bin : 1010us - 1108us,Rx Frames per Bin : 1108us - 1206us,Rx Frames per Bin : 1206us - 1304us,Rx Frames per Bin : 1304us - 1402us,Rx Frames per Bin : 1402us - maxus,Loss %,Tx Frame Rate,Rx Frame Rate,Tx Rate (bps),Rx Rate (bps),Cut-Through Avg Latency (ns),Cut-Through Min Latency (ns),Cut-Through Max Latency (ns)
Port 1,0x1,HQoS Traffic-cpu1-flow0-lp - Flow Group 0001,87667528,57279928,0,265,270,271,267,271,269,270,270,271,269,270,272,270,271,57276152,34.662,1461627.000,954990.000,17749998288.000,11597398560.000,91793041,34152,1279797020
Port 1,0x1,HQoS Traffic-cpu0-flow0-lp - Flow Group 0001,87667528,57279926,0,267,269,270,270,271,268,270,269,273,270,269,269,271,269,57276151,34.662,1461627.000,954986.000,17749998288.000,11597349984.000,92098452,34995,1022072237
Port 1,0x0,HQoS Traffic-cpu1-flow0-hp - Flow Group 0001,42120370,42120118,0,12360,180729,3124524,15648496,17229445,4979399,574481,219711,125846,6359,2367,3058,12372,746,225,0.001,702247.000,702277.000,999999728.000,1000042448.000,437196,33232,1667622
Port 1,0x0,HQoS Traffic-cpu0-flow0-hp - Flow Group 0001,42120370,42120143,0,12199,166982,3245856,15969498,17230574,4766310,503674,75991,122668,6494,4221,3788,10411,985,492,0.001,702247.000,702308.500,999999728.000,1000087304.000,434224,33450,1648272
