Rx Port,IPv4 :Raw priority,Flow Group,Tx Frames,Rx Frames,Rx Frames per Bin : 0us - 30us,Rx Frames per Bin : 30us - 128us,Rx Frames per Bin : 128us - 226us,Rx Frames per Bin : 226us - 324us,Rx Frames per Bin : 324us - 422us,Rx Frames per Bin : 422us - 520us,Rx Frames per Bin : 520us - 618us,Rx Frames per Bin : 618us - 716us,Rx Frames per Bin : 716us - 814us,Rx Frames per Bin : 814us - 912us,Rx Frames per Bin : 912us - 1010us,Rx Frames per Bin : 1010us - 1108us,Rx Frames per Bin : 1108us - 1206us,Rx Frames per Bin : 1206us - 1304us,Rx Frames per Bin : 1304us - 1402us,Rx Frames per Bin : 1402us - maxus,Loss %,Tx Frame Rate,Rx Frame Rate,Tx Rate (bps),Rx Rate (bps),Cut-Through Avg Latency (ns),Cut-Through Min Latency (ns),Cut-Through Max Latency (ns)
Port 1,0x1,HQoS Traffic-cpu1-flow0-lp - Flow Group 0001,87668362,57280453,0,269,268,271,268,275,267,269,270,271,270,269,272,271,269,57276674,34.662,1461627.000,954990.000,17749998288.000,11597398560.000,91351184,33602,1285017352
Port 1,0x1,HQoS Traffic-cpu0-flow0-lp - Flow Group 0001,87668363,57280447,0,254,269,270,271,268,271,271,268,272,271,267,272,271,269,57276683,34.662,1461627.500,954993.000,17750004360.000,11597434992.000,91729446,33755,1225647027
Port 1,0x0,HQoS Traffic-cpu1-flow0-hp - Flow Group 0001,42120771,42120472,0,12127,151060,2654739,14921675,17529194,5570914,662633,513080,87290,5452,1420,1800,8462,519,107,0.001,702247.500,702271.500,1000000440.000,1000034616.000,444500,33640,1605897
Port 1,0x0,HQoS Traffic-cpu0-flow0-hp - Flow Group 0001,42120771,42120485,0,12210,151309,3140954,15877250,17395666,4819770,503852,74030,120113,6515,2817,3051,11662,842,444,0.001,702247.000,702247.500,999999728.000,1000000440.000,435134,33475,1697870
