Rx Port,IPv4 :Raw priority,Flow Group,Tx Frames,Rx Frames,Rx Frames per Bin : 0us - 30us,Rx Frames per Bin : 30us - 128us,Rx Frames per Bin : 128us - 226us,Rx Frames per Bin : 226us - 324us,Rx Frames per Bin : 324us - 422us,Rx Frames per Bin : 422us - 520us,Rx Frames per Bin : 520us - 618us,Rx Frames per Bin : 618us - 716us,Rx Frames per Bin : 716us - 814us,Rx Frames per Bin : 814us - 912us,Rx Frames per Bin : 912us - 1010us,Rx Frames per Bin : 1010us - 1108us,Rx Frames per Bin : 1108us - 1206us,Rx Frames per Bin : 1206us - 1304us,Rx Frames per Bin : 1304us - 1402us,Rx Frames per Bin : 1402us - maxus,Loss %,Tx Frame Rate,Rx Frame Rate,Tx Rate (bps),Rx Rate (bps),Cut-Through Avg Latency (ns),Cut-Through Min Latency (ns),Cut-Through Max Latency (ns)
Port 1,0x1,HQoS Traffic-cpu1-flow0-lp - Flow Group 0001,87670362,57281743,0,265,270,269,271,270,271,269,270,270,269,269,272,270,270,57277968,34.662,1461627.000,954983.000,17749998288.000,11597313552.000,91393487,33675,1231741215
Port 1,0x1,HQoS Traffic-cpu0-flow0-lp - Flow Group 0001,87670363,57281748,0,267,269,269,273,268,271,269,269,272,271,270,268,271,271,57277970,34.662,1461627.000,954987.000,17749998288.000,11597362128.000,92151596,33687,1241433512
Port 1,0x0,HQoS Traffic-cpu1-flow0-hp - Flow Group 0001,42121732,42121507,0,12148,144568,2647796,14931244,17624487,5533489,652105,487894,72801,4990,565,1157,7709,514,40,0.001,702247.500,702329.000,1000000440.000,1000116496.000,444087,32947,1451492
Port 1,0x0,HQoS Traffic-cpu0-flow0-hp - Flow Group 0001,42121732,42121477,0,12354,192095,3382362,16021298,16969944,4745297,526166,88741,151327,7440,4956,5147,12291,1340,719,0.001,702247.000,702300.500,999999728.000,1000075912.000,433736,33275,1645457
