Rx Port,IPv4 :Raw priority,Flow Group,Tx Frames,Rx Frames,Rx Frames per Bin : 0us - 30us,Rx Frames per Bin : 30us - 128us,Rx Frames per Bin : 128us - 226us,Rx Frames per Bin : 226us - 324us,Rx Frames per Bin : 324us - 422us,Rx Frames per Bin : 422us - 520us,Rx Frames per Bin : 520us - 618us,Rx Frames per Bin : 618us - 716us,Rx Frames per Bin : 716us - 814us,Rx Frames per Bin : 814us - 912us,Rx Frames per Bin : 912us - 1010us,Rx Frames per Bin : 1010us - 1108us,Rx Frames per Bin : 1108us - 1206us,Rx Frames per Bin : 1206us - 1304us,Rx Frames per Bin : 1304us - 1402us,Rx Frames per Bin : 1402us - maxus,Loss %,Tx Frame Rate,Rx Frame Rate,Tx Rate (bps),Rx Rate (bps),Cut-Through Avg Latency (ns),Cut-Through Min Latency (ns),Cut-Through Max Latency (ns)
Port 1,0x1,HQoS Traffic-cpu1-flow0-lp - Flow Group 0001,87668566,57280579,0,261,268,273,270,268,272,270,270,269,270,271,268,272,269,57276808,34.662,1461627.500,954991.500,17750004360.000,11597416776.000,91485244,34305,1332725637
Port 1,0x1,HQoS Traffic-cpu0-flow0-lp - Flow Group 0001,87668566,57280584,0,259,271,269,270,272,269,270,269,270,271,270,271,268,270,57276815,34.662,1461627.000,954997.500,17749998288.000,11597489640.000,91984406,34457,1248074900
Port 1,0x0,HQoS Traffic-cpu1-flow0-hp - Flow Group 0001,42120868,42120574,0,12353,159997,2742281,15052562,17533411,5432167,637191,461309,75571,4033,959,1272,7020,407,41,0.001,702247.000,702257.500,999999728.000,1000014680.000,442790,33712,1547290
Port 1,0x0,HQoS Traffic-cpu0-flow0-hp - Flow Group 0001,42120869,42120535,0,12384,190339,3343252,15967042,17042957,4761898,534858,98997,141436,6895,3771,4038,11268,859,541,0.001,702247.500,702207.000,1000000440.000,999942768.000,434046,33582,1694452
