Rx Port,IPv4 :Raw priority,Flow Group,Tx Frames,Rx Frames,Rx Frames per Bin : 0us - 30us,Rx Frames per Bin : 30us - 34.66us,Rx Frames per Bin : 34.66us - 39.34us,Rx Frames per Bin : 39.34us - 44us,Rx Frames per Bin : 44us - 48.66us,Rx Frames per Bin : 48.66us - 53.34us,Rx Frames per Bin : 53.34us - 58us,Rx Frames per Bin : 58us - 62.66us,Rx Frames per Bin : 62.66us - 67.34us,Rx Frames per Bin : 67.34us - 72us,Rx Frames per Bin : 72us - 76.66us,Rx Frames per Bin : 76.66us - 81.34us,Rx Frames per Bin : 81.34us - 86us,Rx Frames per Bin : 86us - 90.66us,Rx Frames per Bin : 90.66us - 95.34us,Rx Frames per Bin : 95.34us - maxus,Loss %,Tx Frame Rate,Rx Frame Rate,Tx Rate (bps),Rx Rate (bps),Cut-Through Avg Latency (ns),Cut-Through Min Latency (ns),Cut-Through Max Latency (ns)
Port 1,0x1,HQoS Traffic-cpu1-flow0-lp - Flow Group 0001,118536148,57279814,0,1,8,18,10,8,9,9,8,9,6,11,9,6,10,57279692,51.677,1976284.500,954998.000,23999998968.000,11597495712.000,105403695,33905,1258760912
Port 1,0x1,HQoS Traffic-cpu0-flow0-lp - Flow Group 0001,118536148,57279799,0,1,7,11,5,11,7,10,7,10,8,7,12,7,8,57279688,51.677,1976284.500,954984.000,23999998968.000,11597325696.000,90517900,33650,2873199095
Port 1,0x0,HQoS Traffic-cpu1-flow0-hp - Flow Group 0001,42120288,42119734,0,6,3127,2366,148,17,7,11,8,9,9,12,17,18,21,42113958,0.001,702247.000,702200.500,999999728.000,999933512.000,587786,34355,1262685
Port 1,0x0,HQoS Traffic-cpu0-flow0-hp - Flow Group 0001,42120289,42119823,0,5,3078,2435,123,14,19,55,102,185,271,381,493,594,655,42111413,0.001,702247.500,702324.500,1000000440.000,1000110088.000,573554,34562,1374520
