Rx Port,IPv4 :Raw priority,Flow Group,Tx Frames,Rx Frames,Rx Frames per Bin : 0us - 30us,Rx Frames per Bin : 30us - 34.66us,Rx Frames per Bin : 34.66us - 39.34us,Rx Frames per Bin : 39.34us - 44us,Rx Frames per Bin : 44us - 48.66us,Rx Frames per Bin : 48.66us - 53.34us,Rx Frames per Bin : 53.34us - 58us,Rx Frames per Bin : 58us - 62.66us,Rx Frames per Bin : 62.66us - 67.34us,Rx Frames per Bin : 67.34us - 72us,Rx Frames per Bin : 72us - 76.66us,Rx Frames per Bin : 76.66us - 81.34us,Rx Frames per Bin : 81.34us - 86us,Rx Frames per Bin : 86us - 90.66us,Rx Frames per Bin : 90.66us - 95.34us,Rx Frames per Bin : 95.34us - maxus,Loss %,Tx Frame Rate,Rx Frame Rate,Tx Rate (bps),Rx Rate (bps),Cut-Through Avg Latency (ns),Cut-Through Min Latency (ns),Cut-Through Max Latency (ns)
Port 1,0x1,HQoS Traffic-cpu1-flow0-lp - Flow Group 0001,114583096,55369603,0,1,13,13,8,10,8,6,12,6,10,9,7,11,8,55369481,51.677,1976284.500,954991.000,23999998968.000,11597410704.000,105720390,33510,1596929502
Port 1,0x1,HQoS Traffic-cpu0-flow0-lp - Flow Group 0001,114583096,55369607,0,1,6,11,9,9,10,7,10,7,9,10,8,7,11,55369492,51.677,1976284.500,955007.000,23999998968.000,11597605008.000,90585731,33470,4018738472
Port 1,0x0,HQoS Traffic-cpu1-flow0-hp - Flow Group 0001,40715622,40715065,0,6,3153,2366,114,14,13,12,10,12,11,18,20,17,22,40709277,0.001,702247.000,702261.000,999999728.000,1000019664.000,585985,34077,1267717
Port 1,0x0,HQoS Traffic-cpu0-flow0-hp - Flow Group 0001,40715623,40714999,0,0,3052,2457,124,13,22,49,104,164,260,364,426,569,672,40706723,0.002,702247.500,702126.000,1000000440.000,999827424.000,571742,34697,1376317
