Experiment,Loss-bps JFI ↑,Norm max–min regret ↓,Rx/user JFI ↑,Delivery-ratio JFI ↑,Fair share (Mbps/u),HP Tx (Gbps),LP Tx (Gbps)
default,0.5000017848658505,0.26741588115512954,0.5899256442967173,0.9482618788878154,24.056976187200004,1.9998335548026576,35.50243628602608
pab,0.5000097516861028,0.27167373052111254,0.5886657968076511,0.9510975861757329,24.374965612799997,1.9998901881720428,35.500417937424636
prioprop,0.5460755417427697,0.30250564536343655,0.5617545192522608,0.9977753188567332,24.374969256,2.0021226136536328,35.49773389588296
