Experiment,JFI mean,JFI std,Min–max dev mean,Min–max dev std,Total Tx mean (Gbps),Total Rx mean (Gbps),n runs
default,0.8416823991585703,,0.16937995901982886,,35.499996576,23.976743208,1
pab,0.8507288423436442,,0.1666602313764986,,35.500002648,24.374969256,1
prioprop,0.9303092978124152,,0.054882168176302704,,35.499996576,24.374969256,1
