Rx Port,IPv4 :Raw priority,Flow Group,Tx Frames,Rx Frames,Rx Frames per Bin : 0us - 30us,Rx Frames per Bin : 30us - 33.34us,Rx Frames per Bin : 33.34us - 36.66us,Rx Frames per Bin : 36.66us - 40us,Rx Frames per Bin : 40us - 43.34us,Rx Frames per Bin : 43.34us - 46.66us,Rx Frames per Bin : 46.66us - 50us,Rx Frames per Bin : 50us - 53.34us,Rx Frames per Bin : 53.34us - 56.66us,Rx Frames per Bin : 56.66us - 60us,Rx Frames per Bin : 60us - 63.34us,Rx Frames per Bin : 63.34us - 66.66us,Rx Frames per Bin : 66.66us - 70us,Rx Frames per Bin : 70us - 73.34us,Rx Frames per Bin : 73.34us - 76.66us,Rx Frames per Bin : 76.66us - maxus,Loss %,Tx Frame Rate,Rx Frame Rate,Tx Rate (bps),Rx Rate (bps),Cut-Through Avg Latency (ns),Cut-Through Min Latency (ns),Cut-Through Max Latency (ns)
Port 1,0x1,HQoS Traffic-cpu7-flow0-lp - Flow Group 0001,17286007,14319520,0,7,6,7,3,5,4,9,4,8,4,6,6,6,3,14319442,17.161,288208.000,238748.000,3499997952.000,2899355712.000,98619111,31817,985134547
Port 1,0x1,HQoS Traffic-cpu6-flow0-lp - Flow Group 0001,17286007,14319519,0,5,6,2,6,5,3,7,3,5,4,6,5,3,6,14319453,17.161,288208.000,238748.500,3499997952.000,2899361784.000,97882163,31640,955058580
Port 1,0x1,HQoS Traffic-cpu5-flow0-lp - Flow Group 0001,17286007,14319520,0,6,9,6,5,6,4,5,3,4,3,3,6,4,5,14319451,17.161,288208.000,238748.500,3499997952.000,2899361784.000,97989954,32010,961965480
Port 1,0x1,HQoS Traffic-cpu4-flow0-lp - Flow Group 0001,17286007,14319522,0,4,6,5,7,4,6,6,10,3,7,5,3,6,4,14319446,17.161,288208.000,238748.500,3499997952.000,2899361784.000,99525142,31962,962337640
Port 1,0x1,HQoS Traffic-cpu3-flow0-lp - Flow Group 0001,17286007,14319518,0,3,6,5,2,6,3,6,2,4,4,5,4,3,3,14319462,17.161,288208.000,238748.000,3499997952.000,2899355712.000,97811381,32137,1068602365
Port 1,0x1,HQoS Traffic-cpu2-flow0-lp - Flow Group 0001,17286008,14319521,0,5,11,4,7,4,5,6,3,5,5,6,3,5,4,14319448,17.161,288208.500,238748.000,3500004024.000,2899355712.000,97852159,31887,1000004927
Port 1,0x1,HQoS Traffic-cpu1-flow0-lp - Flow Group 0001,17286008,14319519,0,2,8,2,5,5,5,4,5,3,2,5,5,6,4,14319458,17.161,288208.500,238748.000,3500004024.000,2899355712.000,97602159,32367,940791277
Port 1,0x1,HQoS Traffic-cpu0-flow0-lp - Flow Group 0001,17286008,14319519,0,4,7,8,4,4,4,6,3,2,7,4,3,5,5,14319453,17.161,288208.000,238748.000,3499997952.000,2899355712.000,98225045,32610,1165010307
Port 1,0x0,HQoS Traffic-cpu7-flow0-hp - Flow Group 0001,10529758,10529740,0,4086,13535,10982,509,53,41,26,29,32,36,44,41,114,638,10499574,0.000,175561.500,175563.500,249999576.000,250002424.000,147815,30377,255197
Port 1,0x0,HQoS Traffic-cpu6-flow0-hp - Flow Group 0001,10529759,10529737,0,4220,13750,10624,511,64,32,31,32,27,31,31,33,126,537,10499688,0.000,175562.000,175562.500,250000288.000,250001000.000,148281,30717,255695
Port 1,0x0,HQoS Traffic-cpu5-flow0-hp - Flow Group 0001,10529759,10529734,0,3957,13631,10818,707,57,36,24,25,33,35,41,41,124,509,10499696,0.000,175562.000,175560.000,250000288.000,249997440.000,148702,30520,256472
Port 1,0x0,HQoS Traffic-cpu4-flow0-hp - Flow Group 0001,10529759,10529727,0,3527,14955,9971,659,56,39,26,25,27,31,30,42,76,344,10499919,0.000,175562.000,175559.000,250000288.000,249996016.000,150986,30877,259507
Port 1,0x0,HQoS Traffic-cpu3-flow0-hp - Flow Group 0001,10529759,10529736,0,3616,13653,11226,609,58,37,24,28,23,30,30,29,88,527,10499758,0.000,175562.000,175562.500,250000288.000,250001000.000,148697,30750,256505
Port 1,0x0,HQoS Traffic-cpu2-flow0-hp - Flow Group 0001,10529759,10529734,0,4151,13899,10324,745,50,38,27,27,20,24,41,43,119,607,10499619,0.000,175561.500,175565.500,249999576.000,250005272.000,148403,30800,256917
Port 1,0x0,HQoS Traffic-cpu1-flow0-hp - Flow Group 0001,10529759,10529731,0,4370,12765,11454,511,56,46,26,35,24,33,26,41,95,516,10499733,0.000,175561.500,175563.500,249999576.000,250002424.000,148647,30777,256647
Port 1,0x0,HQoS Traffic-cpu0-flow0-hp - Flow Group 0001,10529759,10529735,0,4261,13692,10360,796,54,38,26,24,25,29,32,35,120,535,10499708,0.000,175561.500,175565.000,249999576.000,250004560.000,148331,30867,255197
