Rx Port,IPv4 :Raw priority,Flow Group,Tx Frames,Rx Frames,Rx Frames per Bin : 0us - 30us,Rx Frames per Bin : 30us - 33.34us,Rx Frames per Bin : 33.34us - 36.66us,Rx Frames per Bin : 36.66us - 40us,Rx Frames per Bin : 40us - 43.34us,Rx Frames per Bin : 43.34us - 46.66us,Rx Frames per Bin : 46.66us - 50us,Rx Frames per Bin : 50us - 53.34us,Rx Frames per Bin : 53.34us - 56.66us,Rx Frames per Bin : 56.66us - 60us,Rx Frames per Bin : 60us - 63.34us,Rx Frames per Bin : 63.34us - 66.66us,Rx Frames per Bin : 66.66us - 70us,Rx Frames per Bin : 70us - 73.34us,Rx Frames per Bin : 73.34us - 76.66us,Rx Frames per Bin : 76.66us - maxus,Loss %,Tx Frame Rate,Rx Frame Rate,Tx Rate (bps),Rx Rate (bps),Cut-Through Avg Latency (ns),Cut-Through Min Latency (ns),Cut-Through Max Latency (ns)
Port 1,0x1,HQoS Traffic-cpu7-flow0-lp - Flow Group 0001,17286916,14320276,0,5,6,6,5,7,5,6,7,8,4,5,4,4,7,14320197,17.161,288208.500,238748.000,3500004024.000,2899355712.000,98719082,31512,979385507
Port 1,0x1,HQoS Traffic-cpu6-flow0-lp - Flow Group 0001,17286916,14320275,0,4,9,6,3,6,4,3,5,5,3,7,4,5,4,14320207,17.161,288208.500,238748.500,3500004024.000,2899361784.000,97890885,31870,880846495
Port 1,0x1,HQoS Traffic-cpu5-flow0-lp - Flow Group 0001,17286916,14320276,0,5,4,6,4,6,5,4,4,5,5,5,5,5,5,14320208,17.161,288208.000,238748.500,3499997952.000,2899361784.000,98044454,31715,1010648475
Port 1,0x1,HQoS Traffic-cpu4-flow0-lp - Flow Group 0001,17286916,14320276,0,4,10,7,3,6,5,5,6,5,4,3,6,4,4,14320204,17.161,288208.000,238748.000,3499997952.000,2899355712.000,99602366,31930,917635515
Port 1,0x1,HQoS Traffic-cpu3-flow0-lp - Flow Group 0001,17286916,14320274,0,3,5,6,4,6,4,3,5,4,3,3,3,5,5,14320215,17.161,288208.000,238748.000,3499997952.000,2899355712.000,97455527,32755,931501990
Port 1,0x1,HQoS Traffic-cpu2-flow0-lp - Flow Group 0001,17286916,14320275,0,5,7,6,5,5,3,5,4,4,6,5,5,3,4,14320208,17.161,288208.000,238748.000,3499997952.000,2899355712.000,97324448,32297,1096291545
Port 1,0x1,HQoS Traffic-cpu1-flow0-lp - Flow Group 0001,17286916,14320275,0,5,8,2,7,3,3,4,5,4,5,5,6,3,5,14320210,17.161,288208.000,238748.500,3499997952.000,2899361784.000,97817380,32107,1176162867
Port 1,0x1,HQoS Traffic-cpu0-flow0-lp - Flow Group 0001,17286916,14320275,0,5,7,3,6,3,4,7,6,4,4,3,3,6,3,14320211,17.161,288208.000,238748.500,3499997952.000,2899361784.000,97757498,32262,994722570
Port 1,0x0,HQoS Traffic-cpu7-flow0-hp - Flow Group 0001,10530312,10530290,0,5186,13194,10216,505,66,39,33,23,31,31,33,42,128,517,10500246,0.000,175562.000,175564.500,250000288.000,250003848.000,147962,30695,253412
Port 1,0x0,HQoS Traffic-cpu6-flow0-hp - Flow Group 0001,10530312,10530286,0,4347,14026,10292,446,63,31,27,22,24,36,34,42,115,564,10500217,0.000,175561.500,175560.000,249999576.000,249997440.000,148261,30600,254442
Port 1,0x0,HQoS Traffic-cpu5-flow0-hp - Flow Group 0001,10530312,10530283,0,4005,13812,10757,536,55,37,26,29,25,41,41,56,117,521,10500225,0.000,175561.500,175561.000,249999576.000,249998864.000,149067,30445,260317
Port 1,0x0,HQoS Traffic-cpu4-flow0-hp - Flow Group 0001,10530312,10530284,0,3633,14184,10439,851,49,39,36,31,34,24,29,36,80,327,10500492,0.000,175561.500,175563.500,249999576.000,250002424.000,151256,30550,258435
Port 1,0x0,HQoS Traffic-cpu3-flow0-hp - Flow Group 0001,10530312,10530288,0,4788,13234,10507,558,69,45,32,27,27,32,33,42,112,561,10500221,0.000,175561.500,175563.000,249999576.000,250001712.000,148427,30417,256107
Port 1,0x0,HQoS Traffic-cpu2-flow0-hp - Flow Group 0001,10530313,10530289,0,4581,12814,11125,584,58,39,37,31,33,37,45,46,102,553,10500204,0.000,175562.000,175566.000,250000288.000,250005984.000,148726,30780,255565
Port 1,0x0,HQoS Traffic-cpu1-flow0-hp - Flow Group 0001,10530313,10530285,0,3060,14110,11009,935,49,40,27,31,21,35,29,47,119,558,10500215,0.000,175562.000,175559.500,250000288.000,249996728.000,148609,30797,254527
Port 1,0x0,HQoS Traffic-cpu0-flow0-hp - Flow Group 0001,10530313,10530287,0,3824,13468,10941,866,62,38,31,32,29,37,40,43,117,540,10500219,0.000,175562.000,175559.000,250000288.000,249996016.000,148401,30707,260012
