Rx Port,IPv4 :Raw priority,Flow Group,Tx Frames,Rx Frames,Rx Frames per Bin : 0us - 30us,Rx Frames per Bin : 30us - 33.34us,Rx Frames per Bin : 33.34us - 36.66us,Rx Frames per Bin : 36.66us - 40us,Rx Frames per Bin : 40us - 43.34us,Rx Frames per Bin : 43.34us - 46.66us,Rx Frames per Bin : 46.66us - 50us,Rx Frames per Bin : 50us - 53.34us,Rx Frames per Bin : 53.34us - 56.66us,Rx Frames per Bin : 56.66us - 60us,Rx Frames per Bin : 60us - 63.34us,Rx Frames per Bin : 63.34us - 66.66us,Rx Frames per Bin : 66.66us - 70us,Rx Frames per Bin : 70us - 73.34us,Rx Frames per Bin : 73.34us - 76.66us,Rx Frames per Bin : 76.66us - maxus,Loss %,Tx Frame Rate,Rx Frame Rate,Tx Rate (bps),Rx Rate (bps),Cut-Through Avg Latency (ns),Cut-Through Min Latency (ns),Cut-Through Max Latency (ns)
Port 1,0x1,HQoS Traffic-cpu7-flow0-lp - Flow Group 0001,29347214,14797929,0,0,1,2,2,2,2,1,2,3,0,2,2,1,2,14797907,49.576,473484.500,238748.000,5749995768.000,2899355712.000,135762147,33590,1409939237
Port 1,0x1,HQoS Traffic-cpu6-flow0-lp - Flow Group 0001,29347214,14797931,0,1,2,2,2,2,2,0,3,2,2,1,2,2,1,14797907,49.576,473484.500,238749.000,5749995768.000,2899367856.000,135967511,32932,1266340220
Port 1,0x1,HQoS Traffic-cpu5-flow0-lp - Flow Group 0001,29347215,14797929,0,2,3,1,2,2,1,0,3,1,2,2,1,2,2,14797905,49.576,473485.000,238748.500,5750001840.000,2899361784.000,136023111,32450,1571217385
Port 1,0x1,HQoS Traffic-cpu4-flow0-lp - Flow Group 0001,29347215,14797930,0,4,1,1,2,1,2,2,1,2,1,2,1,2,2,14797906,49.576,473485.000,238748.000,5750001840.000,2899355712.000,135683586,32685,1353717827
Port 1,0x1,HQoS Traffic-cpu3-flow0-lp - Flow Group 0001,29347215,14797930,0,2,3,1,2,1,2,1,1,2,1,2,1,0,3,14797908,49.576,473485.000,238749.000,5750001840.000,2899367856.000,135865865,32380,1195946805
Port 1,0x1,HQoS Traffic-cpu2-flow0-lp - Flow Group 0001,29347215,14797931,0,0,6,2,1,2,2,1,2,2,2,1,2,2,2,14797904,49.576,473485.000,238748.000,5750001840.000,2899355712.000,135953604,33785,1283760852
Port 1,0x1,HQoS Traffic-cpu1-flow0-lp - Flow Group 0001,29347215,14797929,0,1,3,1,2,1,3,0,2,1,2,1,2,1,1,14797908,49.576,473485.000,238748.000,5750001840.000,2899355712.000,136093017,33075,1315755967
Port 1,0x1,HQoS Traffic-cpu0-flow0-lp - Flow Group 0001,29347215,14797931,0,2,4,2,1,2,1,1,2,4,0,2,1,2,3,14797904,49.576,473485.000,238748.000,5750001840.000,2899355712.000,135972743,33077,1293461140
Port 1,0x0,HQoS Traffic-cpu7-flow0-hp - Flow Group 0001,10881551,10881528,0,399,2615,2651,454,31,8,9,12,7,6,9,4,16,129,10875178,0.000,175562.000,175566.000,250000288.000,250005984.000,150023,31125,260272
Port 1,0x0,HQoS Traffic-cpu6-flow0-hp - Flow Group 0001,10881551,10881520,0,306,2631,2756,436,18,8,13,11,6,9,8,7,17,127,10875167,0.000,175561.500,175559.000,249999576.000,249996016.000,150495,31320,257367
Port 1,0x0,HQoS Traffic-cpu5-flow0-hp - Flow Group 0001,10881551,10881522,0,340,2547,2948,279,29,13,14,7,8,8,6,5,19,102,10875197,0.000,175561.500,175559.500,249999576.000,249996728.000,150961,31182,256925
Port 1,0x0,HQoS Traffic-cpu4-flow0-hp - Flow Group 0001,10881551,10881524,0,473,2896,2366,393,18,14,8,11,7,7,7,6,7,63,10875248,0.000,175561.500,175564.500,249999576.000,250003848.000,153445,31415,262617
Port 1,0x0,HQoS Traffic-cpu3-flow0-hp - Flow Group 0001,10881552,10881520,0,442,3026,2345,311,21,15,8,11,8,11,7,7,15,118,10875175,0.000,175562.000,175557.500,250000288.000,249993880.000,150402,31137,257650
Port 1,0x0,HQoS Traffic-cpu2-flow0-hp - Flow Group 0001,10881552,10881524,0,407,2670,2687,364,20,13,10,7,11,10,6,8,14,134,10875163,0.000,175562.000,175561.000,250000288.000,249998864.000,150436,31305,262307
Port 1,0x0,HQoS Traffic-cpu1-flow0-hp - Flow Group 0001,10881552,10881521,0,304,2770,2702,351,19,16,6,9,11,8,10,4,12,112,10875187,0.000,175562.000,175562.000,250000288.000,250000288.000,150784,31352,254187
Port 1,0x0,HQoS Traffic-cpu0-flow0-hp - Flow Group 0001,10881552,10881525,0,352,2785,2666,326,22,10,8,11,6,8,6,13,17,115,10875180,0.000,175562.000,175564.000,250000288.000,250003136.000,150471,31297,254530
