Rx Port,IPv4 :Raw priority,Flow Group,Tx Frames,Rx Frames,Rx Frames per Bin : 0us - 30us,Rx Frames per Bin : 30us - 48us,Rx Frames per Bin : 48us - 66us,Rx Frames per Bin : 66us - 84us,Rx Frames per Bin : 84us - 102us,Rx Frames per Bin : 102us - 120us,Rx Frames per Bin : 120us - 138us,Rx Frames per Bin : 138us - 156us,Rx Frames per Bin : 156us - 174us,Rx Frames per Bin : 174us - 192us,Rx Frames per Bin : 192us - 210us,Rx Frames per Bin : 210us - 228us,Rx Frames per Bin : 228us - 246us,Rx Frames per Bin : 246us - 264us,Rx Frames per Bin : 264us - 282us,Rx Frames per Bin : 282us - maxus,Loss %,Tx Frame Rate,Rx Frame Rate,Tx Rate (bps),Rx Rate (bps),Cut-Through Avg Latency (ns),Cut-Through Min Latency (ns),Cut-Through Max Latency (ns)
Port 1,0x3,HQoS Traffic-cpu0-flow0-lp3 - Flow Group 0001,60474784,36913273,0,27,34,28,30,29,28,30,31,29,30,30,28,29,30,36912860,38.961,1043039.000,636664.500,12666665616.000,7731653688.000,52170853,38695,114424295
Port 1,0x2,HQoS Traffic-cpu0-flow0-lp2 - Flow Group 0001,41377483,36913265,0,29,112,106,105,103,111,104,108,99,110,105,109,105,105,36911854,10.789,713658.000,636665.000,8666662752.000,7731659760.000,48686870,38825,112221080
Port 1,0x1,HQoS Traffic-cpu0-flow0-lp1 - Flow Group 0001,41377484,36913265,0,33,100,106,107,107,107,104,107,103,110,100,109,110,103,36911859,10.789,713658.500,636665.000,8666668824.000,7731659760.000,47445793,37870,116867915
Port 1,0x0,HQoS Traffic-cpu0-flow0-hp - Flow Group 0001,9548651,9548596,0,2907,438,100,3988,8336,39155,128505,159067,300107,521637,636050,654143,648244,642690,5803229,0.001,164690.500,164681.500,2000001432.000,1999892136.000,309142,34537,818662
