Rx Port,IPv4 :Raw priority,Flow Group,Tx Frames,Rx Frames,Rx Frames per Bin : 0us - 30us,Rx Frames per Bin : 30us - 1361.34us,Rx Frames per Bin : 1361.34us - 2692.66us,Rx Frames per Bin : 2692.66us - 4024us,Rx Frames per Bin : 4024us - 5355.34us,Rx Frames per Bin : 5355.34us - 6686.66us,Rx Frames per Bin : 6686.66us - 8018us,Rx Frames per Bin : 8018us - 9349.34us,Rx Frames per Bin : 9349.34us - 10680.66us,Rx Frames per Bin : 10680.66us - 12012us,Rx Frames per Bin : 12012us - 13343.34us,Rx Frames per Bin : 13343.34us - 14674.66us,Rx Frames per Bin : 14674.66us - 16006us,Rx Frames per Bin : 16006us - 17337.34us,Rx Frames per Bin : 17337.34us - 18668.66us,Rx Frames per Bin : 18668.66us - maxus,Loss %,Tx Frame Rate,Rx Frame Rate,Tx Rate (bps),Rx Rate (bps),Cut-Through Avg Latency (ns),Cut-Through Min Latency (ns),Cut-Through Max Latency (ns)
Port 1,0x3,HQoS Traffic-cpu0-flow0-lp3 - Flow Group 0001,56497734,31422095,0,604743,1983,1691,1570,1657,1582,1536,1745,1889,2168,2943,4392,7431,12737,30774028,44.383,974418.500,539686.500,11833338264.000,6553952856.000,45295273,37267,127867327
Port 1,0x2,HQoS Traffic-cpu0-flow0-lp2 - Flow Group 0001,56497734,33462244,0,604948,2381,2121,1990,1969,1731,1831,1886,1931,2151,3055,4919,8297,14668,32808366,40.772,974418.000,571894.500,11833332192.000,6945086808.000,42463491,37115,106447345
Port 1,0x1,HQoS Traffic-cpu0-flow0-lp1 - Flow Group 0001,56497734,44174181,0,608254,7117,6454,7714,10240,13743,19869,31518,50410,82427,134792,216864,347481,533135,42104163,21.812,974418.000,758102.500,11833332192.000,9206396760.000,30771623,36267,78111477
Port 1,0x0,HQoS Traffic-cpu0-flow0-hp - Flow Group 0001,9548913,9548652,0,5296021,3097450,827642,225954,71450,21268,6198,1856,555,192,52,12,2,0,0,0.003,164690.500,164696.500,2000001432.000,2000074296.000,1437095,33577,16452952
