Rx Port,IPv4 :Raw priority,Flow Group,Tx Frames,Rx Frames,Rx Frames per Bin : 0us - 30us,Rx Frames per Bin : 30us - 38us,Rx Frames per Bin : 38us - 46us,Rx Frames per Bin : 46us - 54us,Rx Frames per Bin : 54us - 62us,Rx Frames per Bin : 62us - 70us,Rx Frames per Bin : 70us - 78us,Rx Frames per Bin : 78us - 86us,Rx Frames per Bin : 86us - 94us,Rx Frames per Bin : 94us - 102us,Rx Frames per Bin : 102us - 110us,Rx Frames per Bin : 110us - 118us,Rx Frames per Bin : 118us - 126us,Rx Frames per Bin : 126us - 134us,Rx Frames per Bin : 134us - 142us,Rx Frames per Bin : 142us - maxus,Loss %,Tx Frame Rate,Rx Frame Rate,Tx Rate (bps),Rx Rate (bps),Cut-Through Avg Latency (ns),Cut-Through Min Latency (ns),Cut-Through Max Latency (ns)
Port 1,0x1,HQoS Traffic-cpu1-flow0-lp - Flow Group 0001,44452237,44452212,0,44450076,2035,57,44,0,0,0,0,0,0,0,0,0,0,0,0.000,741107.000,741107.500,9000003408.000,9000009480.000,33471,30827,60940
Port 1,0x1,HQoS Traffic-cpu0-flow0-lp - Flow Group 0001,44452237,44452211,0,44449847,2364,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,741106.500,741106.500,8999997336.000,8999997336.000,33538,30860,41012
Port 1,0x0,HQoS Traffic-cpu1-flow0-hp - Flow Group 0001,42121407,42121384,0,42120439,863,53,29,0,0,0,0,0,0,0,0,0,0,0,0.000,702247.000,702247.500,999999728.000,1000000440.000,32950,30167,61225
Port 1,0x0,HQoS Traffic-cpu0-flow0-hp - Flow Group 0001,42121408,42121383,0,42120069,1314,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,702247.500,702247.000,1000000440.000,999999728.000,33006,30167,40422
