Rx Port,IPv4 :Raw priority,Flow Group,Tx Frames,Rx Frames,Rx Frames per Bin : 0us - 30us,Rx Frames per Bin : 30us - 894.66us,Rx Frames per Bin : 894.66us - 1759.34us,Rx Frames per Bin : 1759.34us - 2624us,Rx Frames per Bin : 2624us - 3488.66us,Rx Frames per Bin : 3488.66us - 4353.34us,Rx Frames per Bin : 4353.34us - 5218us,Rx Frames per Bin : 5218us - 6082.66us,Rx Frames per Bin : 6082.66us - 6947.34us,Rx Frames per Bin : 6947.34us - 7812us,Rx Frames per Bin : 7812us - 8676.66us,Rx Frames per Bin : 8676.66us - 9541.34us,Rx Frames per Bin : 9541.34us - 10406us,Rx Frames per Bin : 10406us - 11270.66us,Rx Frames per Bin : 11270.66us - 12135.34us,Rx Frames per Bin : 12135.34us - maxus,Loss %,Tx Frame Rate,Rx Frame Rate,Tx Rate (bps),Rx Rate (bps),Cut-Through Avg Latency (ns),Cut-Through Min Latency (ns),Cut-Through Max Latency (ns)
Port 1,0x3,HQoS Traffic-cpu0-flow0-lp3 - Flow Group 0001,42806518,34390867,0,1816154,171507,187968,225399,263007,311899,370373,441550,522847,613298,717823,820709,941307,1040977,25946049,19.660,713658.500,569034.000,8666668824.000,6910348896.000,17616029,33427,71263870
Port 1,0x2,HQoS Traffic-cpu0-flow0-lp2 - Flow Group 0001,42806518,36065544,0,1883609,282139,298784,346917,392316,453338,522898,604691,697786,798543,914805,1029569,1161521,1265996,25412632,15.748,713658.500,595741.000,8666668824.000,7234678704.000,16119124,33402,65185117
Port 1,0x1,HQoS Traffic-cpu0-flow0-lp1 - Flow Group 0001,42806518,42343348,0,5046731,5003063,4048403,3528049,3074399,2704399,2394835,2129381,1903916,1703261,1523120,1359661,1212225,1074887,5637018,1.082,713658.000,704954.000,8666662752.000,8560961376.000,5949596,33420,46324442
Port 1,0x0,HQoS Traffic-cpu0-flow0-hp - Flow Group 0001,9878428,9878189,0,3751898,3699319,1354055,612551,268458,104865,51226,20304,8837,3682,1691,719,314,142,128,0.002,164690.500,164665.500,2000001432.000,1999697832.000,1346007,32955,17859677
