Rx Port,IPv4 :Raw priority,Flow Group,Tx Frames,Rx Frames,Rx Frames per Bin : 0us - 30us,Rx Frames per Bin : 30us - 81.34us,Rx Frames per Bin : 81.34us - 132.66us,Rx Frames per Bin : 132.66us - 184us,Rx Frames per Bin : 184us - 235.34us,Rx Frames per Bin : 235.34us - 286.66us,Rx Frames per Bin : 286.66us - 338us,Rx Frames per Bin : 338us - 389.34us,Rx Frames per Bin : 389.34us - 440.66us,Rx Frames per Bin : 440.66us - 492us,Rx Frames per Bin : 492us - 543.34us,Rx Frames per Bin : 543.34us - 594.66us,Rx Frames per Bin : 594.66us - 646us,Rx Frames per Bin : 646us - 697.34us,Rx Frames per Bin : 697.34us - 748.66us,Rx Frames per Bin : 748.66us - maxus,Loss %,Tx Frame Rate,Rx Frame Rate,Tx Rate (bps),Rx Rate (bps),Cut-Through Avg Latency (ns),Cut-Through Min Latency (ns),Cut-Through Max Latency (ns)
Port 1,0x3,HQoS Traffic-cpu0-flow0-lp3 - Flow Group 0001,56494729,36912322,0,76,97,93,94,94,95,93,94,96,93,94,95,95,93,36911020,34.662,974418.500,636662.000,11833338264.000,7731623328.000,52008520,39737,107287680
Port 1,0x2,HQoS Traffic-cpu0-flow0-lp2 - Flow Group 0001,56494729,36912323,0,77,97,93,94,94,95,96,91,98,92,96,94,92,95,36911019,34.662,974418.000,636662.000,11833332192.000,7731623328.000,52011268,39720,107359782
Port 1,0x1,HQoS Traffic-cpu0-flow0-lp1 - Flow Group 0001,56494729,36912322,0,76,97,92,97,91,97,93,94,97,92,94,95,94,94,36911019,34.662,974418.000,636662.000,11833332192.000,7731623328.000,51787008,39700,115618630
Port 1,0x0,HQoS Traffic-cpu0-flow0-hp - Flow Group 0001,9548405,9548353,0,4006,19757,458848,1690232,1931123,2149897,1897287,1009815,325388,46439,10196,4305,953,101,6,0.001,164690.000,164690.500,1999995360.000,2000001432.000,303478,36550,812447
