Rx Port,IPv4 :Raw priority,Flow Group,Tx Frames,Rx Frames,Rx Frames per Bin : 0us - 30us,Rx Frames per Bin : 30us - 33.34us,Rx Frames per Bin : 33.34us - 36.66us,Rx Frames per Bin : 36.66us - 40us,Rx Frames per Bin : 40us - 43.34us,Rx Frames per Bin : 43.34us - 46.66us,Rx Frames per Bin : 46.66us - 50us,Rx Frames per Bin : 50us - 53.34us,Rx Frames per Bin : 53.34us - 56.66us,Rx Frames per Bin : 56.66us - 60us,Rx Frames per Bin : 60us - 63.34us,Rx Frames per Bin : 63.34us - 66.66us,Rx Frames per Bin : 66.66us - 70us,Rx Frames per Bin : 70us - 73.34us,Rx Frames per Bin : 73.34us - 76.66us,Rx Frames per Bin : 76.66us - maxus,Loss %,Tx Frame Rate,Rx Frame Rate,Tx Rate (bps),Rx Rate (bps),Cut-Through Avg Latency (ns),Cut-Through Min Latency (ns),Cut-Through Max Latency (ns)
Port 1,0x1,HQoS Traffic-cpu3-flow0-lp1 - Flow Group 0001,118536969,28640088,0,0,2,4,2,2,2,2,2,2,4,2,1,2,1,28640060,75.839,1976284.500,477495.000,23999998968.000,5798699280.000,135398398,34177,1597223277
Port 1,0x1,HQoS Traffic-cpu2-flow0-lp1 - Flow Group 0001,118536969,28640091,0,0,2,6,1,2,3,2,2,3,1,3,1,2,4,28640059,75.839,1976284.500,477496.500,23999998968.000,5798717496.000,135500160,33555,1778891485
Port 1,0x1,HQoS Traffic-cpu1-flow0-lp1 - Flow Group 0001,118536969,28640085,0,0,1,5,3,2,1,4,0,3,2,2,2,2,2,28640056,75.839,1976284.500,477494.500,23999998968.000,5798693208.000,135624633,34302,1414052752
Port 1,0x1,HQoS Traffic-cpu0-flow0-lp1 - Flow Group 0001,118536970,28640087,0,0,1,5,3,1,2,3,2,1,3,2,2,2,2,28640058,75.839,1976284.500,477495.000,23999998968.000,5798699280.000,135421149,33922,1537189032
Port 1,0x0,HQoS Traffic-cpu3-flow0-hp - Flow Group 0001,21060290,21060209,0,0,175,1078,601,65,5,5,4,6,5,18,36,67,92,21058052,0.000,351123.500,351135.500,499999864.000,500016952.000,254529,34580,458302
Port 1,0x0,HQoS Traffic-cpu2-flow0-hp - Flow Group 0001,21060290,21060193,0,0,143,1090,615,75,3,2,1,4,1,16,52,73,123,21057995,0.000,351123.500,351123.500,499999864.000,499999864.000,255967,34280,467702
Port 1,0x0,HQoS Traffic-cpu1-flow0-hp - Flow Group 0001,21060290,21060231,0,0,143,1053,657,69,2,2,5,4,5,16,41,64,93,21058077,0.000,351123.500,351139.000,499999864.000,500021936.000,257524,35220,466037
Port 1,0x0,HQoS Traffic-cpu0-flow0-hp - Flow Group 0001,21060291,21060222,0,0,163,1073,613,75,4,3,3,3,3,16,52,62,96,21058056,0.000,351124.000,351137.000,500000576.000,500019088.000,255039,34680,463780
