Rx Port,IPv4 :Raw priority,Flow Group,Tx Frames,Rx Frames,Rx Frames per Bin : 0us - 30us,Rx Frames per Bin : 30us - 81.34us,Rx Frames per Bin : 81.34us - 132.66us,Rx Frames per Bin : 132.66us - 184us,Rx Frames per Bin : 184us - 235.34us,Rx Frames per Bin : 235.34us - 286.66us,Rx Frames per Bin : 286.66us - 338us,Rx Frames per Bin : 338us - 389.34us,Rx Frames per Bin : 389.34us - 440.66us,Rx Frames per Bin : 440.66us - 492us,Rx Frames per Bin : 492us - 543.34us,Rx Frames per Bin : 543.34us - 594.66us,Rx Frames per Bin : 594.66us - 646us,Rx Frames per Bin : 646us - 697.34us,Rx Frames per Bin : 697.34us - 748.66us,Rx Frames per Bin : 748.66us - maxus,Loss %,Tx Frame Rate,Rx Frame Rate,Tx Rate (bps),Rx Rate (bps),Cut-Through Avg Latency (ns),Cut-Through Min Latency (ns),Cut-Through Max Latency (ns)
Port 1,0x3,HQoS Traffic-cpu0-flow0-lp3 - Flow Group 0001,75594342,36913682,0,66,62,64,64,64,65,64,64,64,61,67,63,64,64,36912786,51.169,1303799.000,636658.500,15833335056.000,7731580824.000,32417145,38252,84008240
Port 1,0x2,HQoS Traffic-cpu0-flow0-lp2 - Flow Group 0001,46948066,36913675,0,118,155,150,155,153,151,155,151,150,158,148,157,154,150,36911570,21.373,809727.500,636659.000,9833330760.000,7731586896.000,31092603,39577,81881957
Port 1,0x1,HQoS Traffic-cpu0-flow0-lp1 - Flow Group 0001,46948066,36913675,0,115,154,152,155,153,152,151,155,150,156,149,155,153,153,36911572,21.373,809727.500,636659.000,9833330760.000,7731586896.000,30597535,38867,91203257
Port 1,0x0,HQoS Traffic-cpu0-flow0-hp - Flow Group 0001,9548760,9548722,0,2052,24913,495560,1638517,1898430,2082823,1891633,1056016,378190,65590,10180,3718,992,102,6,0.000,164690.500,164699.500,2000001432.000,2000110728.000,305281,34247,800907
