Rx Port,IPv4 :Raw priority,Flow Group,Tx Frames,Rx Frames,Rx Frames per Bin : 0us - 30us,Rx Frames per Bin : 30us - 2028us,Rx Frames per Bin : 2028us - 4026us,Rx Frames per Bin : 4026us - 6024us,Rx Frames per Bin : 6024us - 8022us,Rx Frames per Bin : 8022us - 10020us,Rx Frames per Bin : 10020us - 12018us,Rx Frames per Bin : 12018us - 14016us,Rx Frames per Bin : 14016us - 16014us,Rx Frames per Bin : 16014us - 18012us,Rx Frames per Bin : 18012us - 20010us,Rx Frames per Bin : 20010us - 22008us,Rx Frames per Bin : 22008us - 24006us,Rx Frames per Bin : 24006us - 26004us,Rx Frames per Bin : 26004us - 28002us,Rx Frames per Bin : 28002us - maxus,Loss %,Tx Frame Rate,Rx Frame Rate,Tx Rate (bps),Rx Rate (bps),Cut-Through Avg Latency (ns),Cut-Through Min Latency (ns),Cut-Through Max Latency (ns)
Port 1,0x7,HQoS Traffic-cpu0-flow0-lp7 - Flow Group 0001,17733915,15406926,0,1048112,444507,416276,459911,467625,496257,514431,537002,548215,565857,569924,579951,576280,576942,7605636,13.122,305853.500,264186.500,3714284904.000,3208280856.000,29976277,34147,167008342
Port 1,0x6,HQoS Traffic-cpu0-flow0-lp6 - Flow Group 0001,17733915,14940046,0,956697,317370,306569,346441,362927,394788,417847,446991,467777,493482,508715,529056,536371,547965,8307050,15.754,305853.500,256194.000,3714284904.000,3111219936.000,33027475,34095,178227242
Port 1,0x5,HQoS Traffic-cpu0-flow0-lp5 - Flow Group 0001,17733916,14480971,0,909808,250835,245574,281055,297730,326889,350630,380439,403806,431571,447531,471812,482576,498596,8702119,18.343,305854.000,247612.000,3714290976.000,3007000128.000,35617459,33760,199459650
Port 1,0x4,HQoS Traffic-cpu0-flow0-lp4 - Flow Group 0001,17733916,14466989,0,916464,259945,250149,283871,298644,326697,349449,377884,400017,427282,443233,465434,475392,491944,8700584,18.422,305853.500,246806.500,3714284904.000,2997218136.000,35666349,33632,209285017
Port 1,0x3,HQoS Traffic-cpu0-flow0-lp3 - Flow Group 0001,17733916,15289058,0,1054432,454422,412326,445821,449308,470852,483148,502121,513398,532346,539557,551878,552192,554776,7772481,13.786,305853.500,261580.000,3714284904.000,3176627520.000,30688863,33640,187850677
Port 1,0x2,HQoS Traffic-cpu0-flow0-lp2 - Flow Group 0001,17733916,16753027,0,1599935,1195151,984131,980616,900592,867690,820822,786284,745873,711663,669373,633549,591363,555628,4710357,5.531,305853.500,287386.500,3714284904.000,3490021656.000,20294368,33710,152584930
Port 1,0x1,HQoS Traffic-cpu0-flow0-lp1 - Flow Group 0001,17733916,17722923,0,4453613,4313295,2403725,1910778,1245890,933963,660288,485820,353557,259260,188572,138641,102078,75431,198012,0.062,305853.500,305889.500,3714284904.000,3714722088.000,6144680,33447,99162047
Port 1,0x0,HQoS Traffic-cpu0-flow0-hp - Flow Group 0001,9549032,9548524,0,3492675,3324401,1269733,760541,340057,183549,87856,45069,22284,11201,5662,2877,1394,640,585,0.005,164690.500,164746.500,2000001432.000,2000681496.000,3395470,32772,43173860
