Rx Port,IPv4 :Raw priority,Flow Group,Tx Frames,Rx Frames,Rx Frames per Bin : 0us - 30us,Rx Frames per Bin : 30us - 48us,Rx Frames per Bin : 48us - 66us,Rx Frames per Bin : 66us - 84us,Rx Frames per Bin : 84us - 102us,Rx Frames per Bin : 102us - 120us,Rx Frames per Bin : 120us - 138us,Rx Frames per Bin : 138us - 156us,Rx Frames per Bin : 156us - 174us,Rx Frames per Bin : 174us - 192us,Rx Frames per Bin : 192us - 210us,Rx Frames per Bin : 210us - 228us,Rx Frames per Bin : 228us - 246us,Rx Frames per Bin : 246us - 264us,Rx Frames per Bin : 264us - 282us,Rx Frames per Bin : 282us - maxus,Loss %,Tx Frame Rate,Rx Frame Rate,Tx Rate (bps),Rx Rate (bps),Cut-Through Avg Latency (ns),Cut-Through Min Latency (ns),Cut-Through Max Latency (ns)
Port 1,0x3,HQoS Traffic-cpu0-flow0-lp3 - Flow Group 0001,42806859,38188420,0,67,106,109,109,102,105,107,104,107,105,108,102,111,107,38186971,10.789,713658.000,636659.500,8666662752.000,7731592968.000,28757196,35312,84615365
Port 1,0x2,HQoS Traffic-cpu0-flow0-lp2 - Flow Group 0001,42806860,38188419,0,64,104,110,104,104,109,105,109,103,106,109,103,106,110,38186973,10.789,713658.500,636659.000,8666668824.000,7731586896.000,28813953,35312,85687435
Port 1,0x1,HQoS Traffic-cpu0-flow0-lp1 - Flow Group 0001,42806860,38188418,0,54,104,104,105,104,110,106,108,106,104,104,110,104,107,38186988,10.789,713658.500,636659.500,8666668824.000,7731592968.000,27969607,34877,92011507
Port 1,0x0,HQoS Traffic-cpu0-flow0-hp - Flow Group 0001,9878507,9878471,0,9755,7778,107,865,2672,44821,123218,155715,294803,510754,638406,665622,651171,649187,6123597,0.000,164690.500,164698.000,2000001432.000,2000092512.000,312628,32490,813035
