Rx Port,IPv4 :Raw priority,Flow Group,Tx Frames,Rx Frames,Rx Frames per Bin : 0us - 30us,Rx Frames per Bin : 30us - 94.66us,Rx Frames per Bin : 94.66us - 159.34us,Rx Frames per Bin : 159.34us - 224us,Rx Frames per Bin : 224us - 288.66us,Rx Frames per Bin : 288.66us - 353.34us,Rx Frames per Bin : 353.34us - 418us,Rx Frames per Bin : 418us - 482.66us,Rx Frames per Bin : 482.66us - 547.34us,Rx Frames per Bin : 547.34us - 612us,Rx Frames per Bin : 612us - 676.66us,Rx Frames per Bin : 676.66us - 741.34us,Rx Frames per Bin : 741.34us - 806us,Rx Frames per Bin : 806us - 870.66us,Rx Frames per Bin : 870.66us - 935.34us,Rx Frames per Bin : 935.34us - maxus,Loss %,Tx Frame Rate,Rx Frame Rate,Tx Rate (bps),Rx Rate (bps),Cut-Through Avg Latency (ns),Cut-Through Min Latency (ns),Cut-Through Max Latency (ns)
Port 1,0x1,HQoS Traffic-cpu1-flow0-lp - Flow Group 0001,113595849,57279126,0,117,124,126,122,126,125,124,126,123,125,126,124,124,125,57277389,49.576,1893939.500,954969.000,23000001288.000,11597143536.000,103289147,33815,1204087560
Port 1,0x1,HQoS Traffic-cpu0-flow0-lp - Flow Group 0001,113595849,57279149,0,117,126,123,126,124,125,124,125,124,125,124,126,123,124,57277413,49.576,1893939.000,954985.000,22999995216.000,11597337840.000,101143611,36067,1691536600
Port 1,0x0,HQoS Traffic-cpu1-flow0-hp - Flow Group 0001,42119809,42119630,0,6257,231,91441,713547,1582635,3970623,5774351,6503798,6936563,6509419,5236157,2977058,1247139,198980,371431,0.000,702247.000,702450.500,999999728.000,1000289512.000,570864,34392,1222807
Port 1,0x0,HQoS Traffic-cpu0-flow0-hp - Flow Group 0001,42119809,42119438,0,6299,328,77665,540136,1456244,3877337,5911728,6689557,7073723,6733847,5252006,2830139,1088406,202385,379638,0.001,702247.000,702316.000,999999728.000,1000097984.000,571758,34172,1204775
