Rx Port,IPv4 :Raw priority,Flow Group,Tx Frames,Rx Frames,Rx Frames per Bin : 0us - 30us,Rx Frames per Bin : 30us - 94.66us,Rx Frames per Bin : 94.66us - 159.34us,Rx Frames per Bin : 159.34us - 224us,Rx Frames per Bin : 224us - 288.66us,Rx Frames per Bin : 288.66us - 353.34us,Rx Frames per Bin : 353.34us - 418us,Rx Frames per Bin : 418us - 482.66us,Rx Frames per Bin : 482.66us - 547.34us,Rx Frames per Bin : 547.34us - 612us,Rx Frames per Bin : 612us - 676.66us,Rx Frames per Bin : 676.66us - 741.34us,Rx Frames per Bin : 741.34us - 806us,Rx Frames per Bin : 806us - 870.66us,Rx Frames per Bin : 870.66us - 935.34us,Rx Frames per Bin : 935.34us - maxus,Loss %,Tx Frame Rate,Rx Frame Rate,Tx Rate (bps),Rx Rate (bps),Cut-Through Avg Latency (ns),Cut-Through Min Latency (ns),Cut-Through Max Latency (ns)
Port 1,0x1,HQoS Traffic-cpu1-flow0-lp - Flow Group 0001,113601355,57281965,0,107,126,125,123,127,123,124,125,124,126,124,125,125,124,57280237,49.576,1893939.500,954988.500,23000001288.000,11597380344.000,101955486,39265,1745489385
Port 1,0x1,HQoS Traffic-cpu0-flow0-lp - Flow Group 0001,113601356,57281962,0,122,124,125,125,124,125,124,124,127,123,124,124,125,126,57280220,49.576,1893939.500,954997.000,23000001288.000,11597483568.000,101446726,34587,1611463407
Port 1,0x0,HQoS Traffic-cpu1-flow0-hp - Flow Group 0001,42121851,42121329,0,6276,234,91853,668278,1574314,3975986,5859627,6574407,6988036,6568517,5208913,2890453,1156549,189883,368003,0.001,702247.500,702289.500,1000000440.000,1000060248.000,569835,33957,1213365
Port 1,0x0,HQoS Traffic-cpu0-flow0-hp - Flow Group 0001,42121851,42121416,0,6289,303,82679,582455,1495741,3911547,5899135,6652897,7034647,6678970,5245286,2846854,1107019,199555,378039,0.001,702247.000,702213.500,999999728.000,999952024.000,571103,34227,1211555
